LBP_0,LBP_1,LBP_2,LBP_3,LBP_4,LBP_5,LBP_6,LBP_7,LBP_8,LBP_9,Label
589,1164,791,2289,3315,3192,1773,1367,2066,2254,0
657,1111,740,1787,2560,2484,1474,1307,1826,2254,0
565,1006,704,1909,2955,2753,1480,1187,1685,2003,0
594,1153,701,1932,2986,2592,1608,1402,2008,2224,0
529,1127,736,2389,3981,3430,1634,1173,1768,2421,0
487,1009,716,2276,3680,3109,1585,1082,1667,1669,0
515,1242,692,2065,3592,2972,1401,1306,1708,2399,0
426,976,545,1711,2619,2462,1341,1050,1685,1720,0
480,913,680,2030,3454,3028,1499,1096,1496,1739,0
443,970,571,1674,3185,2474,1231,1119,1453,1664,0
442,1067,632,2002,3509,2847,1450,1263,1797,1791,0
367,840,474,1862,3574,2978,1500,1024,1762,1577,0
396,910,520,1600,3233,2528,1137,964,1262,1480,0
537,1029,696,2283,3909,3237,1680,1222,2064,1843,0
352,935,490,1982,3198,3077,1428,1235,1705,1768,0
635,1207,754,2198,3050,2769,1713,1471,2051,2356,0
559,1106,700,2038,3132,2917,1642,1321,1900,2059,0
475,1036,670,2152,4101,3035,1363,1128,1799,1699,0
426,1032,625,2286,3594,3100,1633,1145,1690,2481,0
393,761,596,1962,3692,2879,1252,894,1257,1418,0
497,958,649,1894,2932,2694,1352,1040,1620,1742,0
504,1134,731,2036,3441,2925,1613,1405,1485,2276,0
389,950,551,2127,3770,3453,1589,1241,1844,1948,0
692,1179,906,2136,3036,2939,1692,1417,1820,2165,0
369,913,484,1875,3432,3062,1484,1061,1857,2038,0
638,1101,838,2090,3003,2782,1528,1280,1938,2130,0
490,874,599,1587,2628,2259,1275,1104,1509,1715,0
499,1038,660,1980,3286,2860,1612,1315,1952,1998,0
591,1111,786,2071,2696,2619,1523,1233,1784,2036,0
641,1218,772,2061,3295,2864,1588,1412,1692,2601,0
361,813,511,1626,2858,2525,1184,986,1519,1553,0
535,1136,645,2107,3534,3022,1413,1363,1759,1982,0
492,1060,607,1902,3090,2934,1573,1356,2125,2141,0
446,955,598,1866,2980,2682,1417,1046,1553,1689,0
546,1001,708,1651,2291,2214,1390,1221,1648,1882,0
372,815,471,1754,3053,2731,1232,961,1518,1593,0
486,962,733,2235,3318,3005,1538,1145,1698,1890,0
601,1181,800,2138,3522,3244,1652,1403,2045,2314,0
406,904,530,1822,3178,2774,1366,1118,1676,1778,0
497,1080,632,2040,3523,3097,1636,1248,1862,2015,0
595,1028,701,1635,2435,2277,1354,1141,1523,2067,0
590,1169,807,2016,3497,2603,1298,1179,1605,1850,0
448,1070,544,1672,2932,2704,1334,1143,1838,1937,0
386,744,607,1863,3021,2697,1260,897,1323,1476,0
435,922,600,1701,2841,2535,1434,1084,1749,1819,0
384,824,524,2123,4118,3306,1489,1088,1690,1545,0
747,1371,903,2249,3026,2992,1871,1596,2310,2651,0
469,1125,686,2016,3495,2760,1389,1215,1505,2116,0
549,1212,756,2224,3494,3065,1554,1295,1811,2328,0
383,1163,618,2277,3736,3371,1646,1247,2099,2612,0
307,876,516,2242,3207,3300,1440,1076,2131,1649,0
603,1134,803,2381,3176,3128,1876,1440,2085,2152,0
452,1023,591,1944,3209,2904,1345,1211,1787,1950,0
479,1050,614,2323,4065,3397,1722,1223,1950,1873,0
506,1137,687,2016,3326,2830,1596,1274,1734,2324,0
439,995,632,2036,3363,2991,1506,1182,1800,1672,0
417,801,512,1318,2202,2129,1036,862,1128,1750,0
470,992,562,1747,2754,2621,1287,1130,1633,1714,0
527,1347,711,2723,4768,4181,1957,1564,2633,2769,0
466,826,514,1399,1992,1967,1124,893,1353,1625,0
547,1183,641,1960,3004,2617,1551,1379,1849,1997,0
299,709,390,1644,3365,2917,1270,875,1375,1364,0
436,926,603,1982,3479,2894,1422,1062,1639,2277,0
446,940,555,2132,3638,3350,1583,1282,2034,1805,0
481,966,600,2231,3637,3235,1629,1191,1957,1838,0
596,1063,785,2010,2730,2781,1606,1242,1667,2080,0
622,1248,777,2383,3416,3336,1972,1461,2253,2356,0
472,999,564,1940,3073,2902,1388,1149,1800,1841,0
501,843,685,1847,3102,2679,1300,1019,1480,1796,0
655,1374,895,2258,3547,2996,1636,1387,1887,2957,0
502,971,688,1912,2931,2782,1464,1082,1510,1888,0
576,1121,803,2188,3234,3005,1710,1409,2022,2172,0
393,844,518,1706,3134,2901,1430,1030,1535,1689,0
531,962,728,1894,2814,2532,1420,1163,1589,1837,0
526,1026,683,2159,3523,3170,1530,1298,1984,1972,0
443,905,552,1687,2558,2474,1421,1062,1729,1728,0
336,693,447,1655,3126,2768,1190,794,1161,1270,0
474,958,645,1965,3519,3022,1514,1275,1842,1929,0
470,1059,657,2250,3724,3408,1648,1244,1967,2663,0
414,948,568,1637,2880,2463,1258,1037,1449,1773,0
400,784,499,1630,2935,2388,1147,955,1528,1471,0
466,1010,541,1633,3100,2536,1358,1168,1635,1749,0
448,981,688,2382,3485,3380,1691,1195,2044,1738,0
668,1100,796,2094,2923,2840,1666,1355,1975,2313,0
694,1195,855,2059,2937,2707,1682,1335,2013,2424,0
449,933,688,1805,3198,2569,1335,1025,1419,1659,0
507,1095,704,2020,2823,2659,1584,1178,1900,1980,0
493,1043,557,1656,3125,2337,1148,1062,1319,1892,0
424,993,596,2402,3897,3796,1591,1132,2089,1786,0
322,842,564,2301,3742,3436,1443,1268,1710,1752,0
426,1046,592,1678,2825,2450,1291,1123,1526,1692,0
610,1200,752,2113,3375,2904,1592,1382,1836,2056,0
541,1160,699,2218,3635,3066,1528,1301,1947,1993,0
401,848,592,1916,2894,2634,1341,957,1504,1673,0
463,1026,608,2389,3533,3374,1692,1296,1898,1901,0
532,1081,743,2375,3543,3276,1618,1167,1861,1892,0
498,1145,670,1989,3511,2770,1621,1372,1908,2054,0
376,951,632,2626,3932,3784,1522,1450,1726,2345,0
251,736,418,1755,2797,2654,1189,908,1637,1223,0
516,1189,669,1955,3433,2877,1512,1260,1743,1982,0
440,1034,613,2230,4063,3465,1671,1241,1922,1885,0
431,836,548,1907,2711,2591,1389,1071,1706,1652,0
452,991,687,2196,3612,3146,1597,1089,1692,2250,0
343,770,490,1920,3481,3107,1423,1003,1549,1391,0
268,711,458,2099,3199,3233,1387,1045,1901,1359,0
434,874,612,1963,3549,3013,1492,1125,1723,1616,0
420,943,604,2098,3651,3566,1676,1124,1825,1759,0
371,764,562,1822,3443,2742,1174,876,1134,1665,0
609,1152,816,2346,3427,3254,1695,1296,2062,2101,0
486,1122,628,1976,3744,2974,1336,1249,1706,2495,0
489,1116,738,2233,3385,3141,1654,1302,1925,2017,0
515,974,656,1663,2921,2277,1233,1079,1403,1725,0
454,1018,633,1852,3312,2699,1394,1151,1590,1769,0
383,866,555,1923,3194,3165,1457,1070,1579,1687,0
470,901,725,1732,2580,2476,1327,1065,1402,2022,0
419,1021,643,2337,4017,3429,1516,1123,1519,2421,0
511,942,659,1784,3024,2581,1393,1061,1548,1811,0
451,953,618,1946,3176,2867,1534,1127,1687,1801,0
427,967,569,2155,3536,3119,1394,1149,1987,1779,0
256,788,406,2115,3403,3441,1570,1044,2113,1779,0
745,1264,973,2311,3118,2991,1860,1534,2127,2416,0
443,1049,557,2127,3449,3196,1426,1123,1730,1717,0
440,917,620,2054,3211,3012,1383,1098,1704,1801,0
570,1069,846,2282,3547,3124,1648,1228,1607,2329,0
514,940,633,1759,2685,2409,1205,1063,1377,2325,0
562,1109,840,2481,3655,3374,1796,1371,2138,2132,0
436,922,652,2208,3846,3256,1555,1082,1768,1635,0
573,1148,727,2330,3441,3351,1756,1406,2132,2064,0
557,1200,724,2251,3600,3147,1610,1303,1859,2027,0
408,879,606,1711,2599,2620,1419,1058,1604,1649,0
354,890,476,1816,2980,2849,1409,1073,1768,1617,0
327,771,462,1608,2922,2708,1221,962,1588,1361,0
400,945,571,2039,3361,3098,1569,1115,1708,1610,0
603,1052,673,1846,2887,2589,1391,1190,1902,2052,0
367,993,537,2090,2845,2999,1398,1101,1704,2319,0
496,1007,614,2079,3559,3131,1553,1271,1808,2190,0
549,1278,733,2157,3632,3178,1630,1420,2031,2112,0
600,1183,755,2241,3547,3061,1668,1300,1779,2588,0
537,910,745,1808,2984,2478,1284,1031,1433,1790,0
587,1096,721,2050,3308,2842,1402,1197,1485,2352,0
448,1102,607,2065,2954,3050,1529,1233,2023,1963,0
589,1174,804,2427,3572,3240,1858,1434,2215,2267,0
593,1154,664,1817,2921,2585,1362,1259,1823,2142,0
499,1073,675,2172,3199,3237,1610,1416,1943,2103,0
299,718,387,1624,3029,2816,1266,919,1483,1409,0
554,1227,781,2107,3072,3123,1667,1253,2064,2164,0
268,778,515,2298,3803,3704,1452,1048,2058,1401,0
380,938,582,2452,3718,3479,1528,1240,2191,1664,0
587,1057,799,1962,2805,2493,1521,1291,1741,2040,0
424,1005,552,1930,3527,2845,1405,1083,1661,1696,0
660,1130,852,2099,3576,2915,1436,1321,1548,2475,0
519,1135,703,2194,3323,2920,1621,1429,2112,2076,0
384,943,546,2182,3363,3315,1603,1140,1938,1722,0
479,961,709,2202,3372,3078,1582,1175,1647,1760,0
554,963,636,1846,2828,2668,1448,1158,1784,1793,0
551,1131,646,2034,3278,2959,1405,1265,1783,2228,0
514,1001,606,1993,2996,2932,1387,1146,1557,2370,0
456,1027,671,2210,3630,3336,1548,1245,1559,1982,0
409,819,574,1817,2870,2648,1075,918,1240,1830,0
471,1050,697,1984,3259,2871,1624,1196,1863,1895,0
426,905,530,2283,4005,3447,1552,1070,1854,1636,0
571,1287,763,2274,4017,3386,1686,1439,1864,2633,0
284,870,457,2173,3304,3357,1487,1082,2051,1525,0
621,1193,808,2075,3044,2859,1596,1354,1923,2160,0
388,819,567,2206,3832,3242,1563,1099,1688,1696,0
549,1190,626,1989,3385,3060,1522,1324,2152,2111,0
645,1124,792,2210,3491,3159,1758,1319,1812,2856,0
309,880,506,2621,4045,4077,1669,1259,2431,1583,0
706,1206,869,2291,3189,3000,1686,1446,2043,2366,0
641,1203,849,2297,3547,2964,1670,1429,1856,2240,0
432,938,559,1802,2982,2641,1265,990,1508,1603,0
317,752,514,1836,3248,2874,1318,910,1411,1460,0
540,1340,690,1955,3182,2825,1732,1432,2023,2201,0
625,1080,813,2044,2991,2833,1620,1310,1821,2203,0
448,1041,578,1961,2572,2924,1607,1250,1915,2206,0
282,705,478,1816,3040,2746,1137,942,1208,1478,0
401,901,494,1859,2901,2696,1599,1118,1805,1676,0
602,1204,704,2236,3103,2991,1614,1267,2003,2672,0
407,1008,605,2153,3242,3108,1595,1124,1910,1817,0
336,787,509,1953,3203,2895,1120,840,1349,1503,0
331,797,525,1759,3257,2926,1355,954,1430,1514,0
431,939,544,1518,2803,2270,1246,1063,1540,2101,0
709,1288,916,2252,3155,2924,1812,1484,2009,2411,0
571,1109,781,2230,3164,2888,1757,1374,1956,2046,0
555,1134,793,1700,2687,2410,1393,1205,1739,2064,0
579,1212,846,2227,3179,3080,1732,1395,2038,2162,0
309,682,433,1622,3081,2558,1091,786,1130,1304,0
519,1135,695,2357,3854,3617,1693,1333,2038,1969,0
625,1127,791,2211,3267,3002,1606,1377,2159,2227,0
379,831,475,1753,3592,2911,1117,893,1095,1802,0
541,1120,657,2155,3685,3255,1460,1280,1706,2341,0
300,887,535,2652,3679,4200,1509,1460,2082,2016,0
454,974,600,1835,2774,2678,1398,1019,1719,2129,0
692,1135,895,2323,3261,3028,1728,1469,1882,2481,0
482,1060,703,2150,3624,3115,1533,1241,1864,1868,0
443,907,591,1647,3223,2484,1256,1012,1346,1747,0
418,988,585,1638,3345,2620,1310,1006,1447,1757,0
299,698,393,1766,3738,3115,1150,847,1195,1619,0
539,997,622,1668,2576,2249,1417,1084,1656,1848,0
529,1101,724,2243,3308,3182,1715,1273,2013,2137,0
424,980,518,1829,3011,2776,1427,1105,1849,1789,0
516,1160,580,1620,2787,2549,1394,1218,1832,2844,0
511,1095,657,1911,2829,2895,1496,1250,1858,2112,0
376,819,581,1959,3275,2905,1402,927,1505,1374,0
709,1288,904,2360,3419,2913,1848,1639,2307,2485,0
524,1008,688,2120,3232,3086,1624,1283,1977,2012,0
460,992,611,1814,2728,2716,1424,1143,1730,1882,0
338,861,456,1581,2799,2622,1387,911,1482,1675,0
673,1204,879,2186,3489,2993,1711,1400,1963,2327,0
435,906,492,1771,3181,2859,1593,1061,1862,1684,0
543,1125,808,2411,3537,3209,1730,1197,1943,2004,0
379,872,458,1869,3126,2934,1411,1062,1724,1541,0
472,1017,628,2040,3373,3137,1366,1108,1828,1831,0
538,966,736,2186,3427,3096,1472,1231,1798,1944,0
579,1084,797,2205,3177,3036,1619,1238,1920,2165,0
542,941,736,1718,2428,2444,1409,1050,1439,1811,0
398,877,599,1828,2848,2601,1389,1002,1581,1661,0
422,1098,658,2254,4153,3423,1647,1310,1898,1785,0
688,1185,826,2055,2648,2575,1581,1324,1919,2293,0
508,1165,770,1961,3429,2712,1527,1215,1730,2236,0
376,906,525,1858,3197,2852,1392,1057,1541,2352,0
423,900,610,1796,2969,2588,1377,1005,1691,1791,0
484,1004,694,2240,3509,3116,1734,1297,1955,1875,0
482,1096,731,2465,4076,3352,1671,1296,1894,1735,0
537,1031,717,2005,2727,2820,1624,1271,1920,2092,0
602,1232,854,2464,3365,3126,1763,1339,1901,2152,0
435,977,646,1926,3099,2605,1372,1110,1557,1717,0
480,1145,668,1966,3515,2605,1370,1210,1701,1740,0
472,1011,708,2063,3545,3101,1572,1251,1875,1862,0
498,997,751,2310,3404,3218,1595,1093,1865,2044,0
495,906,653,1817,3052,2668,1387,1129,1621,1776,0
481,1077,702,2160,3250,2987,1687,1211,1862,2013,0
728,1342,952,2316,3354,3039,1719,1598,2073,2514,0
536,1068,673,2179,2972,2851,1614,1333,1924,2000,0
497,1058,677,2319,3674,3632,1783,1318,2158,2054,0
405,990,603,2202,3787,3350,1566,1190,1931,1770,0
549,1161,849,2359,3663,3112,1760,1398,2157,2220,0
362,930,515,1893,3421,2894,1281,1026,1327,1665,0
562,1198,720,1989,3719,2765,1394,1287,1544,2434,0
543,1195,799,2530,3509,3345,1830,1393,2201,2171,0
745,1228,917,2042,2991,2898,1690,1426,2053,2378,0
538,1106,747,2259,3208,2998,1702,1354,2129,2159,0
406,991,618,2275,4043,3490,1578,1147,1815,1813,0
492,967,716,2174,3223,3013,1436,1073,1604,1862,0
345,833,501,2125,3615,3185,1424,1023,1657,1573,0
638,1202,917,2505,3153,3287,1832,1365,2263,2250,0
