LBP_0,LBP_1,LBP_2,LBP_3,LBP_4,LBP_5,LBP_6,LBP_7,LBP_8,LBP_9,Label
589,1164,791,2289,3315,3192,1773,1367,2066,2254,0
358,1008,573,2539,3584,3704,1724,1518,1954,2526,0
581,1174,868,2458,4088,3442,1790,1379,2000,2110,0
594,1153,701,1932,2986,2592,1608,1402,2008,2224,0
529,1127,736,2389,3981,3430,1634,1173,1768,2421,0
375,861,510,1992,3500,3099,1565,1082,1910,1706,0
513,1142,758,2129,2969,2755,1594,1134,1791,2603,0
487,1036,669,2252,3617,3348,1602,1238,1891,1982,0
426,976,545,1711,2619,2462,1341,1050,1685,1720,0
480,913,680,2030,3454,3028,1499,1096,1496,1739,0
506,1098,699,2173,3890,3392,1690,1382,2106,2099,0
527,1072,681,1925,3305,2976,1547,1178,1987,2312,0
443,970,571,1674,3185,2474,1231,1119,1453,1664,0
332,836,522,1718,2880,2744,1327,1034,1575,1584,0
481,1078,548,2187,3657,3373,1667,1332,2049,2196,0
396,910,520,1600,3233,2528,1137,964,1262,1480,0
459,1044,558,1828,3165,2710,1369,1188,1798,1937,0
381,974,635,2364,3938,3213,1616,1186,1950,1607,0
490,890,663,1834,3064,2659,1326,1124,1550,1752,0
475,1036,670,2152,4101,3035,1363,1128,1799,1699,0
605,1330,803,2332,3547,3146,1773,1413,2185,2300,0
393,761,596,1962,3692,2879,1252,894,1257,1418,0
504,1134,731,2036,3441,2925,1613,1405,1485,2276,0
389,950,551,2127,3770,3453,1589,1241,1844,1948,0
523,1056,717,2335,3229,3291,1586,1347,1822,2814,0
550,1136,839,2406,3583,2995,1675,1288,2008,2196,0
499,1038,660,1980,3286,2860,1612,1315,1952,1998,0
591,1111,786,2071,2696,2619,1523,1233,1784,2036,0
609,1199,826,2466,3178,3214,1790,1497,2046,2435,0
465,975,645,2245,3616,3272,1724,1229,1864,1785,0
433,1010,543,1905,2915,2863,1490,1272,1937,2037,0
492,1060,607,1902,3090,2934,1573,1356,2125,2141,0
446,955,598,1866,2980,2682,1417,1046,1553,1689,0
472,1013,611,1861,3242,2746,1398,1236,1706,1930,0
546,1001,708,1651,2291,2214,1390,1221,1648,1882,0
372,815,471,1754,3053,2731,1232,961,1518,1593,0
486,962,733,2235,3318,3005,1538,1145,1698,1890,0
487,1085,716,2130,3248,3000,1716,1216,1911,1971,0
595,1028,701,1635,2435,2277,1354,1141,1523,2067,0
590,1169,807,2016,3497,2603,1298,1179,1605,1850,0
592,1210,854,2116,3544,2917,1539,1376,1838,2344,0
604,1111,742,2168,3421,2968,1519,1348,1876,2097,0
386,744,607,1863,3021,2697,1260,897,1323,1476,0
618,1190,891,2324,3114,3094,1792,1383,2118,2964,0
462,963,719,2112,3388,2929,1522,1106,1654,1789,0
450,951,600,2268,3767,3273,1656,1161,1871,1823,0
747,1371,903,2249,3026,2992,1871,1596,2310,2651,0
549,1212,756,2224,3494,3065,1554,1295,1811,2328,0
515,1045,624,1896,3043,2843,1423,1302,1846,2601,0
383,1163,618,2277,3736,3371,1646,1247,2099,2612,0
307,876,516,2242,3207,3300,1440,1076,2131,1649,0
493,1089,667,2187,3809,3440,1756,1282,1998,1927,0
563,1126,793,2523,3701,3572,1867,1365,2000,2230,0
603,1134,803,2381,3176,3128,1876,1440,2085,2152,0
544,1190,679,1873,3054,2568,1580,1275,1943,1954,0
482,854,600,1568,2405,2377,1250,1058,1605,1709,0
421,1000,541,2231,3356,3191,1754,1294,2090,1970,0
527,1347,711,2723,4768,4181,1957,1564,2633,2769,0
385,928,603,2316,3895,3421,1782,1285,1996,1781,0
469,1214,681,2117,4331,3311,1493,1260,1728,2157,0
