LBP_0,LBP_1,LBP_2,LBP_3,LBP_4,LBP_5,LBP_6,LBP_7,LBP_8,LBP_9,Label
463,1036,647,1897,3686,2691,1350,1104,1510,1969,0
358,1008,573,2539,3584,3704,1724,1518,1954,2526,0
390,850,492,1604,2758,2543,1188,976,1411,1578,0
594,1153,701,1932,2986,2592,1608,1402,2008,2224,0
529,1127,736,2389,3981,3430,1634,1173,1768,2421,0
459,1044,558,1828,3165,2710,1369,1188,1798,1937,0
537,1029,696,2283,3909,3237,1680,1222,2064,1843,0
381,974,635,2364,3938,3213,1616,1186,1950,1607,0
475,1036,670,2152,4101,3035,1363,1128,1799,1699,0
497,958,649,1894,2932,2694,1352,1040,1620,1742,0
504,1134,731,2036,3441,2925,1613,1405,1485,2276,0
369,913,484,1875,3432,3062,1484,1061,1857,2038,0
638,1101,838,2090,3003,2782,1528,1280,1938,2130,0
579,1118,796,2223,3243,2956,1624,1230,1679,1976,0
591,1111,786,2071,2696,2619,1523,1233,1784,2036,0
487,1018,666,1849,3190,2698,1378,1087,1467,2150,0
453,1029,576,2085,3533,2839,1328,1074,1600,2123,0
546,1001,708,1651,2291,2214,1390,1221,1648,1882,0
563,1113,704,2078,3500,2926,1653,1261,1977,2201,0
437,878,635,2349,3811,3355,1697,1123,2083,1699,0
601,1181,800,2138,3522,3244,1652,1403,2045,2314,0
487,1085,716,2130,3248,3000,1716,1216,1911,1971,0
592,1210,854,2116,3544,2917,1539,1376,1838,2344,0
440,945,629,1767,3117,2667,1364,1050,1620,1801,0
618,1190,891,2324,3114,3094,1792,1383,2118,2964,0
469,1125,686,2016,3495,2760,1389,1215,1505,2116,0
493,1089,667,2187,3809,3440,1756,1282,1998,1927,0
603,1134,803,2381,3176,3128,1876,1440,2085,2152,0
544,1190,679,1873,3054,2568,1580,1275,1943,1954,0
452,1023,591,1944,3209,2904,1345,1211,1787,1950,0
479,1050,614,2323,4065,3397,1722,1223,1950,1873,0
421,1000,541,2231,3356,3191,1754,1294,2090,1970,0
685,1107,831,2017,2964,2631,1558,1372,1763,2592,0
439,995,632,2036,3363,2991,1506,1182,1800,1672,0
466,826,514,1399,1992,1967,1124,893,1353,1625,0
406,901,578,2155,3386,3195,1643,1204,1910,1782,0
436,926,603,1982,3479,2894,1422,1062,1639,2277,0
461,1027,627,2309,3348,3471,1664,1180,1999,1834,0
510,1158,670,2027,3176,2897,1599,1320,1938,2033,0
481,966,600,2231,3637,3235,1629,1191,1957,1838,0
596,1063,785,2010,2730,2781,1606,1242,1667,2080,0
622,1248,777,2383,3416,3336,1972,1461,2253,2356,0
655,1374,895,2258,3547,2996,1636,1387,1887,2957,0
576,1121,803,2188,3234,3005,1710,1409,2022,2172,0
502,1070,690,1931,2686,2560,1655,1233,1874,2079,0
443,905,552,1687,2558,2474,1421,1062,1729,1728,0
446,956,648,1955,2660,2661,1466,1097,1707,1740,0
