LBP_0,LBP_1,LBP_2,LBP_3,LBP_4,LBP_5,LBP_6,LBP_7,LBP_8,LBP_9,Label
589,1164,791,2289,3315,3192,1773,1367,2066,2254,0
463,1036,647,1897,3686,2691,1350,1104,1510,1969,0
358,1008,573,2539,3584,3704,1724,1518,1954,2526,0
390,850,492,1604,2758,2543,1188,976,1411,1578,0
594,1153,701,1932,2986,2592,1608,1402,2008,2224,0
529,1127,736,2389,3981,3430,1634,1173,1768,2421,0
527,1072,681,1925,3305,2976,1547,1178,1987,2312,0
443,970,571,1674,3185,2474,1231,1119,1453,1664,0
442,1067,632,2002,3509,2847,1450,1263,1797,1791,0
459,1044,558,1828,3165,2710,1369,1188,1798,1937,0
381,974,635,2364,3938,3213,1616,1186,1950,1607,0
490,890,663,1834,3064,2659,1326,1124,1550,1752,0
559,1106,700,2038,3132,2917,1642,1321,1900,2059,0
426,1032,625,2286,3594,3100,1633,1145,1690,2481,0
497,958,649,1894,2932,2694,1352,1040,1620,1742,0
389,950,551,2127,3770,3453,1589,1241,1844,1948,0
692,1179,906,2136,3036,2939,1692,1417,1820,2165,0
369,913,484,1875,3432,3062,1484,1061,1857,2038,0
638,1101,838,2090,3003,2782,1528,1280,1938,2130,0
579,1118,796,2223,3243,2956,1624,1230,1679,1976,0
490,874,599,1587,2628,2259,1275,1104,1509,1715,0
591,1111,786,2071,2696,2619,1523,1233,1784,2036,0
487,1018,666,1849,3190,2698,1378,1087,1467,2150,0
453,1029,576,2085,3533,2839,1328,1074,1600,2123,0
535,1136,645,2107,3534,3022,1413,1363,1759,1982,0
446,955,598,1866,2980,2682,1417,1046,1553,1689,0
546,1001,708,1651,2291,2214,1390,1221,1648,1882,0
563,1113,704,2078,3500,2926,1653,1261,1977,2201,0
601,1181,800,2138,3522,3244,1652,1403,2045,2314,0
406,904,530,1822,3178,2774,1366,1118,1676,1778,0
487,1085,716,2130,3248,3000,1716,1216,1911,1971,0
492,1013,690,2142,3056,2843,1534,1236,1754,1890,0
590,1169,807,2016,3497,2603,1298,1179,1605,1850,0
592,1210,854,2116,3544,2917,1539,1376,1838,2344,0
440,945,629,1767,3117,2667,1364,1050,1620,1801,0
618,1190,891,2324,3114,3094,1792,1383,2118,2964,0
435,922,600,1701,2841,2535,1434,1084,1749,1819,0
450,951,600,2268,3767,3273,1656,1161,1871,1823,0
549,1212,756,2224,3494,3065,1554,1295,1811,2328,0
493,1089,667,2187,3809,3440,1756,1282,1998,1927,0
603,1134,803,2381,3176,3128,1876,1440,2085,2152,0
544,1190,679,1873,3054,2568,1580,1275,1943,1954,0
452,1023,591,1944,3209,2904,1345,1211,1787,1950,0
479,1050,614,2323,4065,3397,1722,1223,1950,1873,0
685,1107,831,2017,2964,2631,1558,1372,1763,2592,0
439,995,632,2036,3363,2991,1506,1182,1800,1672,0
466,826,514,1399,1992,1967,1124,893,1353,1625,0
547,1183,641,1960,3004,2617,1551,1379,1849,1997,0
506,1154,698,2068,3550,2857,1553,1263,1882,2389,0
299,709,390,1644,3365,2917,1270,875,1375,1364,0
436,926,603,1982,3479,2894,1422,1062,1639,2277,0
461,1027,627,2309,3348,3471,1664,1180,1999,1834,0
510,1158,670,2027,3176,2897,1599,1320,1938,2033,0
596,1063,785,2010,2730,2781,1606,1242,1667,2080,0
622,1248,777,2383,3416,3336,1972,1461,2253,2356,0
655,1374,895,2258,3547,2996,1636,1387,1887,2957,0
502,971,688,1912,2931,2782,1464,1082,1510,1888,0
393,844,518,1706,3134,2901,1430,1030,1535,1689,0
531,962,728,1894,2814,2532,1420,1163,1589,1837,0
526,1026,683,2159,3523,3170,1530,1298,1984,1972,0
443,905,552,1687,2558,2474,1421,1062,1729,1728,0
446,956,648,1955,2660,2661,1466,1097,1707,1740,0
336,693,447,1655,3126,2768,1190,794,1161,1270,0
470,1059,657,2250,3724,3408,1648,1244,1967,2663,0
414,948,568,1637,2880,2463,1258,1037,1449,1773,0
400,784,499,1630,2935,2388,1147,955,1528,1471,0
466,1010,541,1633,3100,2536,1358,1168,1635,1749,0
449,933,688,1805,3198,2569,1335,1025,1419,1659,0
507,1095,704,2020,2823,2659,1584,1178,1900,1980,0
550,1075,632,1705,2576,2362,1411,1168,1745,1887,0
428,925,588,2004,3278,3154,1462,1016,1744,1721,0
541,1160,699,2218,3635,3066,1528,1301,1947,1993,0
532,1081,743,2375,3543,3276,1618,1167,1861,1892,0
376,951,632,2626,3932,3784,1522,1450,1726,2345,0
251,736,418,1755,2797,2654,1189,908,1637,1223,0
516,1189,669,1955,3433,2877,1512,1260,1743,1982,0
440,1034,613,2230,4063,3465,1671,1241,1922,1885,0
453,1113,665,2273,3778,3511,1655,1300,2247,1929,0
414,905,624,1798,2731,2436,1453,1075,1664,1666,0
524,994,700,2196,3278,2914,1470,1221,1910,1887,0
650,1149,780,2312,3184,3056,1592,1361,2030,2686,0
535,1190,779,2347,3537,3269,1744,1330,2192,2183,0
343,770,490,1920,3481,3107,1423,1003,1549,1391,0
514,1222,751,2099,3716,2944,1659,1369,1948,2027,0
420,943,604,2098,3651,3566,1676,1124,1825,1759,0
559,1090,731,2169,3058,3005,1793,1313,1977,2015,0
363,934,503,1902,3127,2875,1512,1123,1835,1634,0
454,1018,633,1852,3312,2699,1394,1151,1590,1769,0
383,866,555,1923,3194,3165,1457,1070,1579,1687,0
459,962,640,2130,3899,3325,1581,1197,1815,1767,0
470,901,725,1732,2580,2476,1327,1065,1402,2022,0
450,1092,632,2316,4145,3378,1626,1245,1880,1956,0
423,980,549,1953,3072,2897,1403,1099,2058,1886,0
517,1071,747,2321,3327,3235,1614,1253,1949,2046,0
218,746,313,1632,2682,2642,1185,929,1773,1236,0
332,814,439,1727,2951,2778,1281,900,1524,1394,0
745,1264,973,2311,3118,2991,1860,1534,2127,2416,0
443,1049,557,2127,3449,3196,1426,1123,1730,1717,0
570,1069,846,2282,3547,3124,1648,1228,1607,2329,0
514,940,633,1759,2685,2409,1205,1063,1377,2325,0
407,927,553,2081,3590,3080,1506,1122,1613,1711,0
592,991,668,1758,2672,2193,1179,1144,1389,2170,0
418,983,557,2068,3641,3194,1672,1281,1813,2052,0
557,1200,724,2251,3600,3147,1610,1303,1859,2027,0
480,968,616,1779,3044,2580,1277,1056,1303,2039,0
354,890,476,1816,2980,2849,1409,1073,1768,1617,0
327,771,462,1608,2922,2708,1221,962,1588,1361,0
400,945,571,2039,3361,3098,1569,1115,1708,1610,0
496,1007,614,2079,3559,3131,1553,1271,1808,2190,0
539,1115,757,2151,3141,2991,1666,1250,1879,1926,0
600,1183,755,2241,3547,3061,1668,1300,1779,2588,0
389,775,366,1447,2686,2510,1178,969,1562,1537,0
