LBP_0,LBP_1,LBP_2,LBP_3,LBP_4,LBP_5,LBP_6,LBP_7,LBP_8,LBP_9,Label
589,1164,791,2289,3315,3192,1773,1367,2066,2254,0
358,1008,573,2539,3584,3704,1724,1518,1954,2526,0
581,1174,868,2458,4088,3442,1790,1379,2000,2110,0
594,1153,701,1932,2986,2592,1608,1402,2008,2224,0
480,913,680,2030,3454,3028,1499,1096,1496,1739,0
443,970,571,1674,3185,2474,1231,1119,1453,1664,0
442,1067,632,2002,3509,2847,1450,1263,1797,1791,0
459,1044,558,1828,3165,2710,1369,1188,1798,1937,0
537,1029,696,2283,3909,3237,1680,1222,2064,1843,0
381,974,635,2364,3938,3213,1616,1186,1950,1607,0
559,1106,700,2038,3132,2917,1642,1321,1900,2059,0
475,1036,670,2152,4101,3035,1363,1128,1799,1699,0
426,1032,625,2286,3594,3100,1633,1145,1690,2481,0
497,958,649,1894,2932,2694,1352,1040,1620,1742,0
504,1134,731,2036,3441,2925,1613,1405,1485,2276,0
389,950,551,2127,3770,3453,1589,1241,1844,1948,0
369,913,484,1875,3432,3062,1484,1061,1857,2038,0
579,1118,796,2223,3243,2956,1624,1230,1679,1976,0
490,874,599,1587,2628,2259,1275,1104,1509,1715,0
591,1111,786,2071,2696,2619,1523,1233,1784,2036,0
535,1136,645,2107,3534,3022,1413,1363,1759,1982,0
492,1060,607,1902,3090,2934,1573,1356,2125,2141,0
446,955,598,1866,2980,2682,1417,1046,1553,1689,0
546,1001,708,1651,2291,2214,1390,1221,1648,1882,0
601,1181,800,2138,3522,3244,1652,1403,2045,2314,0
406,904,530,1822,3178,2774,1366,1118,1676,1778,0
487,1085,716,2130,3248,3000,1716,1216,1911,1971,0
595,1028,701,1635,2435,2277,1354,1141,1523,2067,0
590,1169,807,2016,3497,2603,1298,1179,1605,1850,0
592,1210,854,2116,3544,2917,1539,1376,1838,2344,0
386,744,607,1863,3021,2697,1260,897,1323,1476,0
618,1190,891,2324,3114,3094,1792,1383,2118,2964,0
435,922,600,1701,2841,2535,1434,1084,1749,1819,0
747,1371,903,2249,3026,2992,1871,1596,2310,2651,0
549,1212,756,2224,3494,3065,1554,1295,1811,2328,0
383,1163,618,2277,3736,3371,1646,1247,2099,2612,0
493,1089,667,2187,3809,3440,1756,1282,1998,1927,0
544,1190,679,1873,3054,2568,1580,1275,1943,1954,0
452,1023,591,1944,3209,2904,1345,1211,1787,1950,0
479,1050,614,2323,4065,3397,1722,1223,1950,1873,0
421,1000,541,2231,3356,3191,1754,1294,2090,1970,0
439,995,632,2036,3363,2991,1506,1182,1800,1672,0
466,826,514,1399,1992,1967,1124,893,1353,1625,0
547,1183,641,1960,3004,2617,1551,1379,1849,1997,0
299,709,390,1644,3365,2917,1270,875,1375,1364,0
436,926,603,1982,3479,2894,1422,1062,1639,2277,0
461,1027,627,2309,3348,3471,1664,1180,1999,1834,0
510,1158,670,2027,3176,2897,1599,1320,1938,2033,0
481,966,600,2231,3637,3235,1629,1191,1957,1838,0
622,1248,777,2383,3416,3336,1972,1461,2253,2356,0
472,999,564,1940,3073,2902,1388,1149,1800,1841,0
501,843,685,1847,3102,2679,1300,1019,1480,1796,0
655,1374,895,2258,3547,2996,1636,1387,1887,2957,0
502,971,688,1912,2931,2782,1464,1082,1510,1888,0
556,1265,695,2082,3234,3167,1730,1463,2198,2306,0
576,1121,803,2188,3234,3005,1710,1409,2022,2172,0
393,844,518,1706,3134,2901,1430,1030,1535,1689,0
531,962,728,1894,2814,2532,1420,1163,1589,1837,0
526,1026,683,2159,3523,3170,1530,1298,1984,1972,0
443,905,552,1687,2558,2474,1421,1062,1729,1728,0
