LBP_0,LBP_1,LBP_2,LBP_3,LBP_4,LBP_5,LBP_6,LBP_7,LBP_8,LBP_9,Label
374,914,504,1634,2779,2538,1176,1023,1379,2479,0
588,1092,874,2151,2977,2901,1680,1238,1829,2117,0
565,1061,676,1840,2850,2630,1329,1173,1651,1865,0
375,861,510,1992,3500,3099,1565,1082,1910,1706,0
501,1062,689,1762,2877,2446,1432,1199,1643,1845,0
513,1142,758,2129,2969,2755,1594,1134,1791,2603,0
531,1189,674,2070,3033,2855,1532,1489,2088,2219,0
480,913,680,2030,3454,3028,1499,1096,1496,1739,0
466,957,674,2479,4138,3542,1401,1087,1286,2222,0
636,1203,812,1906,2794,2520,1496,1318,1847,2264,0
481,1078,548,2187,3657,3373,1667,1332,2049,2196,0
396,910,520,1600,3233,2528,1137,964,1262,1480,0
591,1171,747,2012,3242,2645,1489,1367,1767,2105,0
475,1036,670,2152,4101,3035,1363,1128,1799,1699,0
393,761,596,1962,3692,2879,1252,894,1257,1418,0
586,1170,808,2411,3274,3099,1850,1369,2178,2209,0
504,1134,731,2036,3441,2925,1613,1405,1485,2276,0
520,1029,738,2270,3469,3160,1613,1202,1825,1884,0
456,1033,651,2269,3847,3236,1684,1267,1830,1897,0
498,1051,694,1818,2702,2530,1526,1168,1732,1816,0
413,1004,613,1872,3259,2744,1498,1111,1643,1825,0
483,928,678,1790,2680,2498,1374,1015,1550,1678,0
523,1061,681,2103,3389,2994,1574,1313,1941,1971,0
337,776,434,1302,2256,1887,1047,884,1188,1315,0
628,1116,730,1833,2524,2589,1604,1400,2170,2520,0
668,1195,765,1867,2800,2673,1632,1479,2174,2369,0
605,1178,735,1882,2848,2752,1555,1339,2061,2517,0
609,1199,826,2466,3178,3214,1790,1497,2046,2435,0
433,1010,543,1905,2915,2863,1490,1272,1937,2037,0
492,1060,607,1902,3090,2934,1573,1356,2125,2141,0
367,917,489,1837,3002,2771,1635,1079,1823,1620,0
633,1284,767,2314,3621,3008,1604,1384,1741,2971,0
372,815,471,1754,3053,2731,1232,961,1518,1593,0
554,1226,716,2151,3442,2972,1532,1412,1831,2024,0
486,962,733,2235,3318,3005,1538,1145,1698,1890,0
570,984,672,1776,2829,2608,1338,1087,1612,1854,0
595,1028,701,1635,2435,2277,1354,1141,1523,2067,0
638,1186,814,1820,2992,2567,1404,1211,1585,2583,0
533,1146,763,2053,3552,2897,1532,1234,1663,2084,0
441,886,625,1955,3197,2782,1308,1061,1262,1893,0
468,1086,687,2338,3938,3357,1687,1298,1965,1851,0
386,744,607,1863,3021,2697,1260,897,1323,1476,0
592,1069,746,2044,3095,2742,1609,1405,2063,2145,0
506,860,638,1834,2922,2761,1379,1080,1598,1647,0
747,1371,903,2249,3026,2992,1871,1596,2310,2651,0
522,1140,791,2484,4104,3425,1698,1279,1957,2004,0
506,981,670,1630,2515,2150,1226,1118,1446,1807,0
515,1045,624,1896,3043,2843,1423,1302,1846,2601,0
417,967,471,2042,3330,3180,1391,1267,1716,2333,0
291,717,385,1560,2531,2393,1102,811,1261,1852,0
512,943,680,1778,2647,2594,1497,1030,1512,2017,0
329,896,538,2404,3354,3498,1408,1220,2057,1698,0
421,1000,541,2231,3356,3191,1754,1294,2090,1970,0
481,983,606,2036,2836,3061,1678,1366,2120,2014,0
527,1347,711,2723,4768,4181,1957,1564,2633,2769,0
385,928,603,2316,3895,3421,1782,1285,1996,1781,0
469,1214,681,2117,4331,3311,1493,1260,1728,2157,0
314,800,412,1625,2595,2692,1334,1053,1699,1686,0
365,891,630,1928,3575,2708,1355,960,1296,1544,0
510,1043,673,2227,3608,3111,1434,1204,1697,1743,0
460,1037,540,1710,2978,2548,1305,1142,1366,1794,0
597,1175,808,2058,3099,2830,1524,1277,1799,2083,0
329,850,485,1718,3025,2652,1360,974,1478,1525,0
552,1041,727,2102,3244,2776,1485,1241,1836,1946,0
316,924,529,2343,3746,3478,1446,1092,1956,1495,0
481,966,600,2231,3637,3235,1629,1191,1957,1838,0
474,983,644,2083,3448,2930,1410,1064,1430,2036,0
472,999,564,1940,3073,2902,1388,1149,1800,1841,0
501,843,685,1847,3102,2679,1300,1019,1480,1796,0
456,1098,698,2602,4580,3998,1715,1246,1896,2014,0
499,1065,668,2125,3117,3129,1631,1247,2024,1920,0
544,1303,765,2121,3536,2909,1614,1441,1951,2056,0
440,883,677,1998,3135,2849,1449,1033,1389,1635,0
502,1070,690,1931,2686,2560,1655,1233,1874,2079,0
716,1242,802,2020,3078,2645,1637,1454,1935,2255,0
451,997,516,2110,3331,3128,1565,1255,2099,1687,0
532,1227,655,1955,3211,2823,1586,1395,2137,2244,0
471,906,674,1909,2990,2739,1470,1131,1600,1806,0
490,879,570,1488,2371,2130,1234,982,1481,1857,0
386,827,534,1814,3022,2624,1391,951,1540,1464,0
513,1237,731,2250,4065,3147,1633,1285,1792,1947,0
295,652,402,1542,3413,2359,975,735,1143,1147,0
501,1063,683,2219,3226,3066,1663,1291,2077,2013,0
394,936,495,1647,2967,2593,1329,1203,1659,1941,0
437,1022,616,1944,3780,3146,1533,1168,1843,1836,0
445,791,560,1466,2752,2316,1210,908,1195,1481,0
719,1218,928,2272,3521,2798,1524,1273,1720,2231,0
420,875,640,1964,3237,2786,1333,1127,1349,2089,0
334,826,463,2039,3409,3051,1546,1034,1725,1621,0
409,947,665,2104,3266,2946,1371,1067,1805,1626,0
457,1044,606,2313,4215,3463,1546,1156,1982,1783,0
448,981,688,2382,3485,3380,1691,1195,2044,1738,0
457,991,626,1966,3107,2847,1287,961,1487,1704,0
640,1174,858,2120,3270,2821,1493,1306,1842,2184,0
440,933,592,1857,2498,2591,1464,1117,1671,1685,0
509,1165,686,1864,3087,2653,1558,1247,1737,1922,0
668,1215,810,2126,3129,2933,1575,1438,1776,2945,0
518,1152,652,1779,3279,2572,1418,1316,1778,1951,0
493,1043,557,1656,3125,2337,1148,1062,1319,1892,0
547,1038,717,2275,3242,3018,1524,1374,1673,2541,0
424,993,596,2402,3897,3796,1591,1132,2089,1786,0
460,1007,631,2243,3611,3210,1599,1056,1816,1846,0
426,1046,592,1678,2825,2450,1291,1123,1526,1692,0
490,935,608,1807,2731,2737,1307,1033,1676,1790,0
394,926,531,1912,3177,2906,1578,1104,1808,1651,0
578,1208,612,2008,2980,2781,1713,1470,2258,2280,0
401,848,592,1916,2894,2634,1341,957,1504,1673,0
407,945,564,2099,3240,3073,1481,1073,1842,1768,0
459,970,593,1962,3017,2833,1621,1181,1842,1786,0
563,1149,822,2223,3467,3089,1671,1235,1732,2377,0
469,1020,580,1657,2581,2328,1399,1120,1784,1822,0
390,987,545,2007,3330,2991,1497,1157,1784,1737,0
323,978,460,2085,3038,3335,1478,1375,1991,2309,0
576,1051,737,1767,2765,2400,1399,1262,1583,1904,0
615,1285,877,2461,4221,3332,1853,1673,2003,3088,0
443,974,685,2237,3859,3126,1577,1202,1742,1776,0
268,711,458,2099,3199,3233,1387,1045,1901,1359,0
452,1051,623,2162,3579,3264,1583,1228,1940,1750,0
494,1034,598,2233,3516,3349,1664,1387,2144,2071,0
450,974,649,1942,3124,2807,1469,1234,1841,1860,0
273,852,483,2144,3378,3406,1375,1059,1942,1468,0
469,911,650,1742,2947,2599,1389,1125,1691,1786,0
426,904,539,1528,2698,2515,1168,1048,1531,1685,0
474,1122,592,2162,3595,3186,1581,1362,1790,2444,0
579,1133,689,2036,2851,2837,1668,1301,2111,2395,0
310,883,452,2115,3201,3472,1570,1181,2156,1732,0
646,1076,835,2107,2991,2639,1580,1191,1903,2209,0
686,1221,827,1914,2677,2530,1449,1367,1692,2509,0
519,1150,587,1836,3058,2853,1445,1312,1980,2030,0
515,974,656,1663,2921,2277,1233,1079,1403,1725,0
519,1250,722,1858,3308,2541,1368,1273,1682,2055,0
534,1170,696,1994,3208,2549,1394,1312,1625,2094,0
625,1057,741,1990,3015,2806,1592,1312,1950,2140,0
372,979,563,1914,3854,3215,1471,1040,1534,1672,0
584,1069,782,1928,3400,2866,1420,1230,1702,2099,0
354,826,474,1931,3122,3015,1503,1069,1897,1579,0
712,1263,796,2019,3003,2635,1571,1382,1865,2304,0
649,1394,849,2135,3585,2744,1604,1519,2140,2267,0
428,973,630,2048,3244,3003,1554,1150,1739,1807,0
511,942,659,1784,3024,2581,1393,1061,1548,1811,0
