Model,Dataset,Feature Combination,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+Zernike moments,0.8797364085667215,0.8946807113535976,0.8797364085667215,0.8786091587211112,0.8818524381998383
Support Vector Machine,BC-15,Basic+Enhanced Color+Zernike moments,0.943986820428336,0.9442979268116864,0.943986820428336,0.9439783059384987,0.9459992743943666
Random Forest,BC-15,Basic+Enhanced Color+Zernike moments,0.913509060955519,0.9148964431886055,0.913509060955519,0.9134412287019911,0.915948482000033
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+LBP,0.8632619439868204,0.8824996012907117,0.8632619439868204,0.8615502762673017,0.852614653935586
Support Vector Machine,BC-15,Basic+Enhanced Color+LBP,0.9233937397034596,0.9249801640586605,0.9233937397034596,0.9233263710624339,0.9240727914378535
Random Forest,BC-15,Basic+Enhanced Color+LBP,0.9028006589785832,0.9043952370719794,0.9028006589785832,0.9027103576553116,0.9033666452283186
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+GLCM,0.8640856672158155,0.8797121277598188,0.8640856672158155,0.8626993765100117,0.8623641550817132
Support Vector Machine,BC-15,Basic+Enhanced Color+GLCM,0.9324546952224053,0.9336656056675371,0.9324546952224053,0.9324106707341953,0.9216444862217384
Random Forest,BC-15,Basic+Enhanced Color+GLCM,0.9151565074135091,0.9161128320134025,0.9151565074135091,0.9151114093597917,0.8976813601807418
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+Edge,0.8673805601317958,0.8853638026927032,0.8673805601317958,0.86584253849763,0.8603357575157903
Support Vector Machine,BC-15,Basic+Enhanced Color+Edge,0.9225700164744646,0.9234768557338322,0.9225700164744646,0.9225317514125506,0.9301687033097512
Random Forest,BC-15,Basic+Enhanced Color+Edge,0.9085667215815486,0.9096426789398079,0.9085667215815486,0.9085109164026408,0.9005260640841704
K-Nearest Neighbors,BC-15,Basic+Zernike moments+LBP,0.8599670510708401,0.8796265599576663,0.8599670510708401,0.8581611427457511,0.847335048401194
Support Vector Machine,BC-15,Basic+Zernike moments+LBP,0.9308072487644151,0.9318676236921236,0.9308072487644151,0.9307677908977869,0.9289508402183413
Random Forest,BC-15,Basic+Zernike moments+LBP,0.8855024711696869,0.8894532536700668,0.8855024711696869,0.8852222070043482,0.8733249229044014
K-Nearest Neighbors,BC-15,Basic+Zernike moments+GLCM,0.8550247116968699,0.8710515103534967,0.8550247116968699,0.8534715967475082,0.8550487310146935
Support Vector Machine,BC-15,Basic+Zernike moments+GLCM,0.9373970345963756,0.9378757540144133,0.9373970345963756,0.9373817393837449,0.9334157885189398
Random Forest,BC-15,Basic+Zernike moments+GLCM,0.8912685337726524,0.8933478574657727,0.8912685337726524,0.8911320314754279,0.8822498721944623
K-Nearest Neighbors,BC-15,Basic+Zernike moments+Edge,0.8739703459637562,0.8874275008183306,0.8739703459637562,0.872888705873726,0.8603291611009418
Support Vector Machine,BC-15,Basic+Zernike moments+Edge,0.9316309719934102,0.9326236809791952,0.9316309719934102,0.9315946308433274,0.9321987499793863
Random Forest,BC-15,Basic+Zernike moments+Edge,0.886326194398682,0.8894239560450254,0.886326194398682,0.8861092154156351,0.8826588499150712
K-Nearest Neighbors,BC-15,Basic+LBP+GLCM,0.8171334431630972,0.8415182364196483,0.8171334431630972,0.8138604737907108,0.798209073368624
Support Vector Machine,BC-15,Basic+LBP+GLCM,0.9118616144975288,0.9130902349368277,0.9118616144975288,0.9118003954415116,0.8993065518890484
Random Forest,BC-15,Basic+LBP+GLCM,0.857495881383855,0.8611657144541522,0.857495881383855,0.8571470633939009,0.8611396955754547
K-Nearest Neighbors,BC-15,Basic+LBP+Edge,0.8179571663920923,0.8521570554248111,0.8179571663920923,0.813485510058006,0.8034853806955919
Support Vector Machine,BC-15,Basic+LBP+Edge,0.9019769357495881,0.9030362191383258,0.9019769357495881,0.901917108575804,0.8863206847078613
Random Forest,BC-15,Basic+LBP+Edge,0.8690280065897859,0.8736019529308033,0.8690280065897859,0.8686398776519519,0.8582974653275943
K-Nearest Neighbors,BC-15,Basic+GLCM+Edge,0.8245469522240527,0.8511846086427974,0.8245469522240527,0.8212048357766288,0.8120161941984531
Support Vector Machine,BC-15,Basic+GLCM+Edge,0.9242174629324547,0.9248865432747538,0.9242174629324547,0.9241903042725295,0.9025635317205098
Random Forest,BC-15,Basic+GLCM+Edge,0.8665568369028006,0.8701944467826694,0.8665568369028006,0.8662410234496262,0.8627640627319053
K-Nearest Neighbors,BC-15,Enhanced Color+Zernike moments+LBP,0.872322899505766,0.8899682085158614,0.872322899505766,0.8708879119966867,0.8741346328270586
Support Vector Machine,BC-15,Enhanced Color+Zernike moments+LBP,0.9382207578253706,0.9389694739711472,0.9382207578253706,0.9381966460627028,0.9443765563416283
Random Forest,BC-15,Enhanced Color+Zernike moments+LBP,0.8986820428336079,0.9003450904418949,0.8986820428336079,0.8985827497534139,0.9094551361335114
K-Nearest Neighbors,BC-15,Enhanced Color+Zernike moments+GLCM,0.8599670510708401,0.8778741536394363,0.8599670510708401,0.858317677743146,0.8716956084368146
Support Vector Machine,BC-15,Enhanced Color+Zernike moments+GLCM,0.9299835255354201,0.9306060620916713,0.9299835255354201,0.9299605725083718,0.9455960685367503
Random Forest,BC-15,Enhanced Color+Zernike moments+GLCM,0.8855024711696869,0.8869514292106074,0.8855024711696869,0.885401780405143,0.9033666452283183
K-Nearest Neighbors,BC-15,Enhanced Color+Zernike moments+Edge,0.8673805601317958,0.8842347257180119,0.8673805601317958,0.8659367420830841,0.879406817394746
Support Vector Machine,BC-15,Enhanced Color+Zernike moments+Edge,0.9250411861614497,0.9255547517415431,0.9250411861614497,0.9250208876299764,0.9358531638054718
Random Forest,BC-15,Enhanced Color+Zernike moments+Edge,0.8822075782537068,0.8841486636166919,0.8822075782537068,0.8820665104434209,0.9037747983970711
K-Nearest Neighbors,BC-15,Enhanced Color+LBP+GLCM,0.7990115321252059,0.8148809520673537,0.7990115321252059,0.7964955868025398,0.7913100479889181
Support Vector Machine,BC-15,Enhanced Color+LBP+GLCM,0.8797364085667215,0.8806759166172892,0.8797364085667215,0.8796678270366296,0.8704892890713897
Random Forest,BC-15,Enhanced Color+LBP+GLCM,0.8270181219110379,0.8275413715394758,0.8270181219110379,0.8269561293177304,0.8164893880176125
K-Nearest Neighbors,BC-15,Enhanced Color+LBP+Edge,0.7800658978583196,0.7986206345001106,0.7800658978583196,0.7766570287425637,0.7661422516862085
Support Vector Machine,BC-15,Enhanced Color+LBP+Edge,0.8451400329489291,0.8463732759872807,0.8451400329489291,0.8450113194821821,0.8461303781394811
Random Forest,BC-15,Enhanced Color+LBP+Edge,0.8056013179571664,0.8068236004379548,0.8056013179571664,0.8054207153106233,0.7982148452316167
K-Nearest Neighbors,BC-15,Enhanced Color+GLCM+Edge,0.7775947281713345,0.7860498889364008,0.7775947281713345,0.7759825319016005,0.7844093735054998
Support Vector Machine,BC-15,Enhanced Color+GLCM+Edge,0.8797364085667215,0.8809424850323463,0.8797364085667215,0.8796475646808524,0.8721227262982569
Random Forest,BC-15,Enhanced Color+GLCM+Edge,0.8014827018121911,0.801928532929599,0.8014827018121911,0.8014176232296195,0.8197405959860815
K-Nearest Neighbors,BC-15,Zernike moments+LBP+GLCM,0.8327841845140033,0.8554158398009124,0.8327841845140033,0.8301217446122993,0.8314896353831692
Support Vector Machine,BC-15,Zernike moments+LBP+GLCM,0.9077429983525536,0.9080304818397913,0.9077429983525536,0.9077289744869392,0.8972765052194133
Random Forest,BC-15,Zernike moments+LBP+GLCM,0.8682042833607908,0.8711601980828633,0.8682042833607908,0.867952713525374,0.8599160606210525
K-Nearest Neighbors,BC-15,Zernike moments+LBP+Edge,0.8270181219110379,0.8495726112121852,0.8270181219110379,0.8242269299817335,0.8266305512953709
Support Vector Machine,BC-15,Zernike moments+LBP+Edge,0.9036243822075782,0.9044315222540463,0.9036243822075782,0.9035802233543225,0.8997130559540889
Random Forest,BC-15,Zernike moments+LBP+Edge,0.8616144975288303,0.8657025946920115,0.8616144975288303,0.8612409386141135,0.8603308102046536
K-Nearest Neighbors,BC-15,Zernike moments+GLCM+Edge,0.8303130148270181,0.8478233709197589,0.8303130148270181,0.8281888970546032,0.831088903181121
Support Vector Machine,BC-15,Zernike moments+GLCM+Edge,0.8962108731466227,0.8968379344696739,0.8962108731466227,0.8961736775906384,0.8887489899239764
Random Forest,BC-15,Zernike moments+GLCM+Edge,0.8583196046128501,0.8623712525655471,0.8583196046128501,0.8579371514382591,0.851393492636752
K-Nearest Neighbors,BC-15,LBP+GLCM+Edge,0.728995057660626,0.7425514084677428,0.728995057660626,0.7252367412168251,0.6922335460677121
Support Vector Machine,BC-15,LBP+GLCM+Edge,0.7874794069192751,0.7878702013748214,0.7874794069192751,0.7874159419302595,0.7425914015732451
Random Forest,BC-15,LBP+GLCM+Edge,0.7602965403624382,0.7606221071944422,0.7602965403624382,0.7602316296738802,0.7239111792740646
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+Zernike moments+LBP,0.8739703459637562,0.8905647623094926,0.8739703459637562,0.8726419372653986,0.874539487788387
Support Vector Machine,BC-15,Basic+Enhanced Color+Zernike moments+LBP,0.9456342668863262,0.9462236101378357,0.9456342668863262,0.9456180316565782,0.9443740826860602
Random Forest,BC-15,Basic+Enhanced Color+Zernike moments+LBP,0.9126853377265239,0.9144943823534082,0.9126853377265239,0.9125951974022973,0.9216329424957536
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+Zernike moments+GLCM,0.8813838550247117,0.8969253394942757,0.8813838550247117,0.880233340039254,0.8846897211365622
Support Vector Machine,BC-15,Basic+Enhanced Color+Zernike moments+GLCM,0.9481054365733114,0.948547547430515,0.9481054365733114,0.9480940610291255,0.9484366496808985
Random Forest,BC-15,Basic+Enhanced Color+Zernike moments+GLCM,0.9159802306425041,0.9171466697882649,0.9159802306425041,0.9159254684742429,0.920009399891159
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+Zernike moments+Edge,0.8822075782537068,0.8954593469705484,0.8822075782537068,0.8812327127446257,0.8855002556110755
Support Vector Machine,BC-15,Basic+Enhanced Color+Zernike moments+Edge,0.9406919275123559,0.941000886359696,0.9406919275123559,0.9406829121701752,0.9496578109797325
Random Forest,BC-15,Basic+Enhanced Color+Zernike moments+Edge,0.9118616144975288,0.9134062012788182,0.9118616144975288,0.9117841043406496,0.9224508979369712
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+LBP+GLCM,0.8649093904448105,0.884836114694838,0.8649093904448105,0.8631672200606066,0.8501814014083345
Support Vector Machine,BC-15,Basic+Enhanced Color+LBP+GLCM,0.9357495881383855,0.9364359704297868,0.9357495881383855,0.9357265623180143,0.9236687610283811
Random Forest,BC-15,Basic+Enhanced Color+LBP+GLCM,0.9126853377265239,0.9138428826124106,0.9126853377265239,0.9126284280222525,0.9017406289681558
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+LBP+Edge,0.8558484349258649,0.8774254692077356,0.8558484349258649,0.8537918147919173,0.8485603324593084
Support Vector Machine,BC-15,Basic+Enhanced Color+LBP+Edge,0.9217462932454695,0.9228555985427723,0.9217462932454695,0.9216985320563141,0.9265109912762414
Random Forest,BC-15,Basic+Enhanced Color+LBP+Edge,0.9028006589785832,0.9042317441753922,0.9028006589785832,0.9027198707388164,0.899713880505945
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+GLCM+Edge,0.8583196046128501,0.8744934866975506,0.8583196046128501,0.8568017877305193,0.8518123649796335
