Model,Dataset,Feature Combination,Best Params,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
K-Nearest Neighbors,BC-15,Basic+Enhanced Color,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.8855024711696869,0.8925141077525239,0.8855024711696869,0.8850032260395317,0.8798199178746351
Support Vector Machine,BC-15,Basic+Enhanced Color,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.92833607907743,0.929771499665631,0.92833607907743,0.928279875210221,0.927724731608371
Random Forest,BC-15,Basic+Enhanced Color,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.913509060955519,0.9148964431886055,0.913509060955519,0.9134412287019911,0.8993073764409043
K-Nearest Neighbors,BC-15,Basic+Zernike moments,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.8789126853377265,0.8892951927521998,0.8789126853377265,0.8781186319333314,0.8765736572173024
Support Vector Machine,BC-15,Basic+Zernike moments,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.9225700164744646,0.9240689332684591,0.9225700164744646,0.922505659741091,0.9350376820198223
Random Forest,BC-15,Basic+Zernike moments,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.8970345963756178,0.8983686026585771,0.8970345963756178,0.8969538436928465,0.8850962252016028
K-Nearest Neighbors,BC-15,Basic+LBP,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'manhattan'}",0.8327841845140033,0.8529762215464192,0.8327841845140033,0.8303985051586242,0.8221614802354921
Support Vector Machine,BC-15,Basic+LBP,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9102141680395387,0.9124916426522217,0.9102141680395387,0.9100961368978988,0.89930407823348
Random Forest,BC-15,Basic+LBP,"{'n_estimators': 250, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 20, 'bootstrap': False}",0.8747940691927513,0.8782663287566921,0.8747940691927513,0.874517547859974,0.8607348406141263
K-Nearest Neighbors,BC-15,Basic+GLCM,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'manhattan'}",0.8410214168039539,0.8561693662661369,0.8410214168039539,0.8393457117138687,0.8436806345751083
Support Vector Machine,BC-15,Basic+GLCM,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9209225700164745,0.9215867069447445,0.9209225700164745,0.9208942305452483,0.9078390144956217
Random Forest,BC-15,Basic+GLCM,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': None, 'bootstrap': False}",0.8665568369028006,0.869954528312441,0.8665568369028006,0.8662621233770775,0.8643867807846435
K-Nearest Neighbors,BC-15,Basic+Edge,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'manhattan'}",0.8467874794069192,0.8635029208683245,0.8467874794069192,0.8450381756117886,0.8420554428668019
Support Vector Machine,BC-15,Basic+Edge,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9093904448105437,0.9108441405397478,0.9093904448105437,0.9093151337395747,0.9037756229489272
Random Forest,BC-15,Basic+Edge,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 30, 'bootstrap': False}",0.8772652388797364,0.8813932624204567,0.8772652388797364,0.8769443915168569,0.862760764524481
K-Nearest Neighbors,BC-15,Enhanced Color+Zernike moments,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.872322899505766,0.8821092243706801,0.872322899505766,0.8715196719152045,0.89484572634773
Support Vector Machine,BC-15,Enhanced Color+Zernike moments,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.914332784184514,0.9147876929508691,0.914332784184514,0.9143118538935456,0.9301695278616073
Random Forest,BC-15,Enhanced Color+Zernike moments,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 30, 'bootstrap': False}",0.8797364085667215,0.8805551856930035,0.8797364085667215,0.879676975598217,0.9001220336746979
K-Nearest Neighbors,BC-15,Enhanced Color+LBP,"{'weights': 'distance', 'n_neighbors': 31, 'metric': 'euclidean'}",0.7685337726523888,0.7768800069131089,0.7685337726523888,0.7668229132415517,0.7608593479443921
Support Vector Machine,BC-15,Enhanced Color+LBP,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.8369028006589786,0.8379780536596846,0.8369028006589786,0.8367823137452656,0.8258208413727139
Random Forest,BC-15,Enhanced Color+LBP,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 30, 'bootstrap': False}",0.799835255354201,0.8007419057717122,0.799835255354201,0.7996962251615639,0.7811581655370307
K-Nearest Neighbors,BC-15,Enhanced Color+GLCM,"{'weights': 'distance', 'n_neighbors': 19, 'metric': 'euclidean'}",0.7940691927512356,0.7983048774729377,0.7940691927512356,0.7933626136138876,0.7961831494582695
Support Vector Machine,BC-15,Enhanced Color+GLCM,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.8673805601317958,0.8687637734137122,0.8673805601317958,0.8672639326994821,0.8721120071241281
Random Forest,BC-15,Enhanced Color+GLCM,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': None, 'bootstrap': False}",0.8088962108731467,0.8104037559019484,0.8088962108731467,0.8086781323253628,0.8181137551740629
