Model,Dataset,Feature Combination,Best Params,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
K-Nearest Neighbors,Huongthom,Basic+Enhanced Color,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.9452554744525548,0.946393591958497,0.9452554744525548,0.9452053880767746,0.9482014388489208
Support Vector Machine,Huongthom,Basic+Enhanced Color,"{'kernel': 'linear', 'gamma': 'auto', 'C': 27.825594022071257}",0.9700729927007299,0.9701893807070568,0.9700729927007299,0.970068606389018,0.9787769784172662
Random Forest,Huongthom,Basic+Enhanced Color,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20, 'bootstrap': False}",0.9562043795620438,0.9563366452052584,0.9562043795620438,0.9561970967250389,0.956474820143885
K-Nearest Neighbors,Huongthom,Basic+Zernike moments,"{'weights': 'uniform', 'n_neighbors': 13, 'metric': 'euclidean'}",0.9065693430656935,0.9081945093791266,0.9065693430656935,0.9064420783446011,0.910431654676259
Support Vector Machine,Huongthom,Basic+Zernike moments,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.9518248175182482,0.9518921938641728,0.9518248175182482,0.951826049578088,0.9593525179856115
Random Forest,Huongthom,Basic+Zernike moments,"{'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 20, 'bootstrap': False}",0.9226277372262773,0.9230112377287308,0.9226277372262773,0.9226227903193449,0.9223021582733812
K-Nearest Neighbors,Huongthom,Basic+LBP,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.881021897810219,0.8820722192379329,0.881021897810219,0.8809021134648013,0.8679856115107913
Support Vector Machine,Huongthom,Basic+LBP,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9357664233576642,0.9358056059260321,0.9357664233576642,0.9357680661286248,0.9330935251798561
Random Forest,Huongthom,Basic+LBP,"{'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.9153284671532846,0.9155753152410149,0.9153284671532846,0.9153270235522268,0.9
K-Nearest Neighbors,Huongthom,Basic+GLCM,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.9131386861313868,0.915561840003919,0.9131386861313868,0.9129739549235764,0.9046762589928058
Support Vector Machine,Huongthom,Basic+GLCM,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 100.0}",0.948905109489051,0.9489104610425573,0.948905109489051,0.9489057628917164,0.9600719424460433
Random Forest,Huongthom,Basic+GLCM,"{'n_estimators': 250, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 20, 'bootstrap': False}",0.9145985401459854,0.9152776490068159,0.9145985401459854,0.9145825677384274,0.9115107913669064
K-Nearest Neighbors,Huongthom,Basic+Edge,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.8978102189781022,0.8992490769431103,0.8978102189781022,0.8976819475602696,0.8899280575539569
Support Vector Machine,Huongthom,Basic+Edge,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9423357664233577,0.9424044198959006,0.9423357664233577,0.9423294049434849,0.9453237410071942
Random Forest,Huongthom,Basic+Edge,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 30, 'bootstrap': False}",0.9116788321167884,0.9119548468281335,0.9116788321167884,0.9116764322014166,0.9064748201438849
K-Nearest Neighbors,Huongthom,Enhanced Color+Zernike moments,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.9474452554744526,0.9479767916806802,0.9474452554744526,0.9474196990620348,0.9517985611510792
Support Vector Machine,Huongthom,Enhanced Color+Zernike moments,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.9700729927007299,0.9700735481261417,0.9700729927007299,0.9700727534983589,0.9787769784172662
Random Forest,Huongthom,Enhanced Color+Zernike moments,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.9562043795620438,0.9563522317844941,0.9562043795620438,0.9562049395796955,0.9658273381294963
K-Nearest Neighbors,Huongthom,Enhanced Color+LBP,"{'weights': 'uniform', 'n_neighbors': 13, 'metric': 'euclidean'}",0.9211678832116789,0.9211931490539036,0.9211678832116789,0.9211628419891823,0.9320143884892087
Support Vector Machine,Huongthom,Enhanced Color+LBP,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9591240875912409,0.9593075035818717,0.9591240875912409,0.9591155468839156,0.966546762589928
Random Forest,Huongthom,Enhanced Color+LBP,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20, 'bootstrap': False}",0.945985401459854,0.9465146181809475,0.945985401459854,0.9459591351470913,0.9471223021582734
K-Nearest Neighbors,Huongthom,Enhanced Color+GLCM,"{'weights': 'uniform', 'n_neighbors': 13, 'metric': 'euclidean'}",0.9313868613138686,0.9325460711605742,0.9313868613138686,0.9313209716160267,0.939568345323741
Support Vector Machine,Huongthom,Enhanced Color+GLCM,"{'kernel': 'linear', 'gamma': 'auto', 'C': 27.825594022071257}",0.9678832116788321,0.9679781929683585,0.9678832116788321,0.9678791036307566,0.9741007194244604
Random Forest,Huongthom,Enhanced Color+GLCM,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.9496350364963504,0.949839583489346,0.9496350364963504,0.9496233584205948,0.9517985611510792
K-Nearest Neighbors,Huongthom,Enhanced Color+Edge,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.9401459854014599,0.9419326221609082,0.9401459854014599,0.9400644564395101,0.9496402877697842
Support Vector Machine,Huongthom,Enhanced Color+Edge,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9664233576642336,0.9665178097233694,0.9664233576642336,0.9664190628867003,0.9773381294964029
Random Forest,Huongthom,Enhanced Color+Edge,"{'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.954014598540146,0.9542828973228263,0.954014598540146,0.9540016800462242,0.9553956834532376
K-Nearest Neighbors,Huongthom,Zernike moments+LBP,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'manhattan'}",0.862043795620438,0.865408790776624,0.862043795620438,0.8616435001011936,0.8687050359712231
Support Vector Machine,Huongthom,Zernike moments+LBP,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.897080291970803,0.8975718847559029,0.897080291970803,0.8970267845382635,0.9003597122302157
Random Forest,Huongthom,Zernike moments+LBP,"{'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 20, 'bootstrap': False}",0.8708029197080291,0.8713282633652507,0.8708029197080291,0.8707266506600495,0.8773381294964029
K-Nearest Neighbors,Huongthom,Zernike moments+GLCM,"{'weights': 'uniform', 'n_neighbors': 13, 'metric': 'euclidean'}",0.8854014598540146,0.8921864201125277,0.8854014598540146,0.8848146096892958,0.8895683453237409
Support Vector Machine,Huongthom,Zernike moments+GLCM,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9226277372262773,0.9228400859710911,0.9226277372262773,0.9226079404852691,0.9330935251798561
Random Forest,Huongthom,Zernike moments+GLCM,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 30, 'bootstrap': False}",0.9021897810218978,0.9022957803523496,0.9021897810218978,0.9021735160192536,0.9068345323741006
K-Nearest Neighbors,Huongthom,Zernike moments+Edge,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'manhattan'}",0.8715328467153285,0.8757864041202954,0.8715328467153285,0.8710852767413991,0.8661870503597122
Support Vector Machine,Huongthom,Zernike moments+Edge,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.8927007299270073,0.8929156496170316,0.8927007299270073,0.8926705867745229,0.9032374100719425
Random Forest,Huongthom,Zernike moments+Edge,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.8773722627737226,0.8776002130900866,0.8773722627737226,0.8773346091246317,0.8802158273381295
K-Nearest Neighbors,Huongthom,LBP+GLCM,"{'weights': 'distance', 'n_neighbors': 19, 'metric': 'euclidean'}",0.8284671532846716,0.8380648420751149,0.8284671532846716,0.827053468922723,0.8255395683453237
Support Vector Machine,Huongthom,LBP+GLCM,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.8751824817518248,0.8761002444061964,0.8751824817518248,0.8750682848150455,0.8841726618705035
Random Forest,Huongthom,LBP+GLCM,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 20, 'bootstrap': True}",0.8335766423357664,0.8342272753208061,0.8335766423357664,0.8334459738521003,0.8442446043165468
K-Nearest Neighbors,Huongthom,LBP+Edge,"{'weights': 'uniform', 'n_neighbors': 57, 'metric': 'euclidean'}",0.7576642335766424,0.7627021317946773,0.7576642335766424,0.7562375332188443,0.746043165467626
Support Vector Machine,Huongthom,LBP+Edge,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.8051094890510949,0.8094221328748122,0.8051094890510949,0.8042692903547426,0.7791366906474819
Random Forest,Huongthom,LBP+Edge,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.7751824817518248,0.7763804263074336,0.7751824817518248,0.7748252810411645,0.7643884892086331
K-Nearest Neighbors,Huongthom,GLCM+Edge,"{'weights': 'distance', 'n_neighbors': 19, 'metric': 'euclidean'}",0.845985401459854,0.8580480061635757,0.845985401459854,0.8445002581112622,0.8438848920863309
Support Vector Machine,Huongthom,GLCM+Edge,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.8846715328467153,0.8853597475996733,0.8846715328467153,0.8845903400469376,0.8866906474820144
Random Forest,Huongthom,GLCM+Edge,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20, 'bootstrap': False}",0.8540145985401459,0.8540132604920705,0.8540145985401459,0.8540121092385807,0.853956834532374
K-Nearest Neighbors,Huongthom,Basic+Enhanced Color+Zernike moments,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.9430656934306569,0.9435902711814822,0.9430656934306569,0.9430380073172044,0.9539568345323742
Support Vector Machine,Huongthom,Basic+Enhanced Color+Zernike moments,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9744525547445255,0.9744759348287426,0.9744525547445255,0.9744512614022081,0.9841726618705036
Random Forest,Huongthom,Basic+Enhanced Color+Zernike moments,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.9613138686131387,0.9617597392893064,0.9613138686131387,0.9613108386116553,0.9669064748201439
K-Nearest Neighbors,Huongthom,Basic+Enhanced Color+LBP,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.9445255474452555,0.9453557673369833,0.9445255474452555,0.9444864926808054,0.9431654676258991
Support Vector Machine,Huongthom,Basic+Enhanced Color+LBP,"{'kernel': 'linear', 'gamma': 'auto', 'C': 27.825594022071257}",0.9686131386861314,0.9686588162190584,0.9686131386861314,0.9686106798694915,0.9769784172661871
Random Forest,Huongthom,Basic+Enhanced Color+LBP,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 30, 'bootstrap': False}",0.9605839416058394,0.9607682731504998,0.9605839416058394,0.9605757059237758,0.9550359712230216
K-Nearest Neighbors,Huongthom,Basic+Enhanced Color+GLCM,"{'weights': 'uniform', 'n_neighbors': 13, 'metric': 'euclidean'}",0.9408759124087591,0.9424268038778094,0.9408759124087591,0.9408047631498607,0.9446043165467627
Support Vector Machine,Huongthom,Basic+Enhanced Color+GLCM,"{'kernel': 'linear', 'gamma': 'auto', 'C': 27.825594022071257}",0.9751824817518249,0.9751857926428764,0.9751824817518249,0.9751820585705588,0.9820143884892086
Random Forest,Huongthom,Basic+Enhanced Color+GLCM,"{'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.962043795620438,0.9620572892743128,0.962043795620438,0.9620423393262537,0.960431654676259
K-Nearest Neighbors,Huongthom,Basic+Enhanced Color+Edge,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.9437956204379562,0.9455175350213652,0.9437956204379562,0.9437220971754562,0.9557553956834532
Support Vector Machine,Huongthom,Basic+Enhanced Color+Edge,"{'kernel': 'linear', 'gamma': 'auto', 'C': 27.825594022071257}",0.9722627737226277,0.9723593427033264,0.9722627737226277,0.9722592258629261,0.983093525179856
Random Forest,Huongthom,Basic+Enhanced Color+Edge,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20, 'bootstrap': False}",0.9627737226277372,0.9627956088762908,0.9627737226277372,0.9627718380432174,0.95863309352518
K-Nearest Neighbors,Huongthom,Basic+Zernike moments+LBP,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.8978102189781022,0.9000399455056041,0.8978102189781022,0.897622925473401,0.9046762589928058
Support Vector Machine,Huongthom,Basic+Zernike moments+LBP,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.948905109489051,0.948972436055629,0.948905109489051,0.9489064162191843,0.956115107913669
Random Forest,Huongthom,Basic+Zernike moments+LBP,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.9211678832116789,0.9216284064557295,0.9211678832116789,0.9211604907423556,0.9215827338129496
K-Nearest Neighbors,Huongthom,Basic+Zernike moments+GLCM,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.9182481751824818,0.9212025743662192,0.9182481751824818,0.9180657780557605,0.9241007194244606
Support Vector Machine,Huongthom,Basic+Zernike moments+GLCM,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.962043795620438,0.9621113461940765,0.962043795620438,0.9620447663342511,0.9694244604316546
