Model,Dataset,Feature Combination,Best Params,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
K-Nearest Neighbors,Q5,Basic+Enhanced Color,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.9396378269617707,0.9441119816049445,0.9396378269617707,0.9394723873531917,0.933536840036361
Support Vector Machine,Q5,Basic+Enhanced Color,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9728370221327968,0.9731579636011087,0.9728370221327968,0.9728309446472578,0.9608136992359286
Random Forest,Q5,Basic+Enhanced Color,"{'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.9627766599597586,0.9628663821847694,0.9627766599597586,0.9627737587008617,0.9489116281355182
K-Nearest Neighbors,Q5,Basic+Zernike moments,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.9285714285714286,0.9324143118785977,0.9285714285714286,0.9283976836915386,0.9394872613812248
Support Vector Machine,Q5,Basic+Zernike moments,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.9617706237424547,0.9620363207065074,0.9617706237424547,0.9617631928972853,0.9568520747856424
Random Forest,Q5,Basic+Zernike moments,"{'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.9416498993963782,0.9416561068564892,0.9416498993963782,0.9416491906907029,0.9434513426528757
K-Nearest Neighbors,Q5,Basic+LBP,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.9175050301810865,0.9224606226872991,0.9175050301810865,0.9172426339258128,0.9141918286121417
Support Vector Machine,Q5,Basic+LBP,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.9587525150905433,0.9597297810500903,0.9587525150905433,0.9587265710952827,0.9404749035697615
Random Forest,Q5,Basic+LBP,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': None, 'bootstrap': False}",0.9456740442655935,0.9457011572579546,0.9456740442655935,0.9456722846706015,0.9350183033191657
K-Nearest Neighbors,Q5,Basic+GLCM,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'manhattan'}",0.9134808853118712,0.9195596749952556,0.9134808853118712,0.9131432291535664,0.9146856497064098
Support Vector Machine,Q5,Basic+GLCM,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.9527162977867203,0.9532402321554772,0.9527162977867203,0.9526992054749021,0.942959978379972
Random Forest,Q5,Basic+GLCM,"{'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.9446680080482898,0.9448098623822256,0.9446680080482898,0.9446614546933763,0.9399835392968576
K-Nearest Neighbors,Q5,Basic+Edge,"{'weights': 'uniform', 'n_neighbors': 9, 'metric': 'manhattan'}",0.9336016096579477,0.9361323825582084,0.9336016096579477,0.9334941627964471,0.9290715672063484
Support Vector Machine,Q5,Basic+Edge,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 2.1544346900318843}",0.9567404426559356,0.9577130129304955,0.9567404426559356,0.9567132330999307,0.9439525342112376
Random Forest,Q5,Basic+Edge,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.9517102615694165,0.9517167948804518,0.9517102615694165,0.9517096750543749,0.9384910203179126
K-Nearest Neighbors,Q5,Enhanced Color+Zernike moments,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'manhattan'}",0.9507042253521126,0.9540885797428335,0.9507042253521126,0.9506031662813393,0.9449463184531852
Support Vector Machine,Q5,Enhanced Color+Zernike moments,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9798792756539235,0.9800023588224283,0.9798792756539235,0.9798773203900514,0.9682590963811022
Random Forest,Q5,Enhanced Color+Zernike moments,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.9617706237424547,0.9617774829044147,0.9617706237424547,0.9617701594180468,0.9513893324816352
K-Nearest Neighbors,Q5,Enhanced Color+LBP,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.8883299798792756,0.8988653057776946,0.8883299798792756,0.8875460897225266,0.8725278235019532
Support Vector Machine,Q5,Enhanced Color+LBP,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9275653923541247,0.9282473871726453,0.9275653923541247,0.9275301822072125,0.911214161118345
Random Forest,Q5,Enhanced Color+LBP,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': None, 'bootstrap': False}",0.9074446680080482,0.9080907511798302,0.9074446680080482,0.9073996772647714,0.8893914453480087
K-Nearest Neighbors,Q5,Enhanced Color+GLCM,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'euclidean'}",0.9014084507042254,0.9137456465119264,0.9014084507042254,0.90062972781666,0.8854212220229467
Support Vector Machine,Q5,Enhanced Color+GLCM,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.742636826811277}",0.9436619718309859,0.9441150786185382,0.9436619718309859,0.9436437179712501,0.923607596491659
Random Forest,Q5,Enhanced Color+GLCM,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.9185110663983903,0.9189902070135452,0.9185110663983903,0.9184816094354695,0.8973245215340393
