Model,Dataset,Feature Combination,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+Skewness and Kurtosis,0.8752212389380531,0.8808690475084479,0.8752212389380531,0.8740479358929731,0.8730275613399169
Support Vector Machine,BC-15,Basic+Enhanced Color+Skewness and Kurtosis,0.9389380530973452,0.9392049202330596,0.9389380530973452,0.938856948734831,0.92757465916983
Random Forest,BC-15,Basic+Enhanced Color+Skewness and Kurtosis,0.9212389380530972,0.921221231068282,0.9212389380530972,0.9212119466206444,0.9057558200378648
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+Zernike moments,0.8964601769911504,0.9042892899439424,0.8964601769911504,0.8953254996741631,0.878699660359049
Support Vector Machine,BC-15,Basic+Enhanced Color+Zernike moments,0.9495575221238938,0.9501612389273818,0.9495575221238938,0.9494612894120772,0.9459038540209872
Random Forest,BC-15,Basic+Enhanced Color+Zernike moments,0.9283185840707964,0.9285523011928656,0.9283185840707964,0.9282233746017584,0.9070687178316256
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+Hu moments,0.8884955752212389,0.8933290165883709,0.8884955752212389,0.8875888906447535,0.8625481633701515
Support Vector Machine,BC-15,Basic+Enhanced Color+Hu moments,0.9415929203539825,0.9422179519595448,0.9415929203539825,0.94147552141507,0.9284518271160962
Random Forest,BC-15,Basic+Enhanced Color+Hu moments,0.9185840707964602,0.9185843389445556,0.9185840707964602,0.9185378700800144,0.8979012662804082
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+LBP,0.8769911504424779,0.8834026196664414,0.8769911504424779,0.8757404903134731,0.8712941557020674
Support Vector Machine,BC-15,Basic+Enhanced Color+LBP,0.9389380530973452,0.9396105479685792,0.9389380530973452,0.9388089760268268,0.9253922044315056
Random Forest,BC-15,Basic+Enhanced Color+LBP,0.904424778761062,0.9044075279002508,0.904424778761062,0.904370543137408,0.9009580348393604
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+GLCM,0.8911504424778761,0.8987997036371436,0.8911504424778761,0.8899575765805304,0.879139195707395
Support Vector Machine,BC-15,Basic+Enhanced Color+GLCM,0.9442477876106194,0.944948106948368,0.9442477876106194,0.9441299346331896,0.9323819581204632
Random Forest,BC-15,Basic+Enhanced Color+GLCM,0.9247787610619468,0.9247997585912796,0.9247787610619468,0.9247301994412472,0.9031481005793875
K-Nearest Neighbors,BC-15,Basic+Enhanced Color+Edge,0.8778761061946903,0.8848813229916217,0.8778761061946903,0.8765622526999064,0.8773972276926297
Support Vector Machine,BC-15,Basic+Enhanced Color+Edge,0.9327433628318584,0.9334450268869812,0.9327433628318584,0.932594096894778,0.9271389293223354
Random Forest,BC-15,Basic+Enhanced Color+Edge,0.915929203539823,0.9159173779188936,0.915929203539823,0.9158879293294582,0.9027095166062542
