Model,Dataset,Feature Combination,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
K-Nearest Neighbors,BC-15,Basic,0.8396,0.8467,0.8396,0.8392,0.8149
Support Vector Machine,BC-15,Basic,0.8695,0.8706,0.8695,0.8695,0.836
Random Forest,BC-15,Basic,0.8509,0.8512,0.8509,0.8509,0.8324
K-Nearest Neighbors,BC-15,Enhanced Color,0.8163,0.8171,0.8163,0.8163,0.8197
Support Vector Machine,BC-15,Enhanced Color,0.8848,0.8848,0.8848,0.8848,0.8781
Random Forest,BC-15,Enhanced Color,0.8533,0.854,0.8533,0.8532,0.8451
K-Nearest Neighbors,BC-15,Zernike moments,0.8122,0.8162,0.8122,0.812,0.8074
Support Vector Machine,BC-15,Zernike moments,0.867,0.867,0.867,0.867,0.8634
Random Forest,BC-15,Zernike moments,0.83,0.8305,0.83,0.83,0.834
K-Nearest Neighbors,BC-15,LBP,0.6092,0.6119,0.6092,0.6084,0.5953
Support Vector Machine,BC-15,LBP,0.643,0.6438,0.643,0.643,0.6315
Random Forest,BC-15,LBP,0.6245,0.6255,0.6245,0.6244,0.6076
K-Nearest Neighbors,BC-15,GLCM,0.7462,0.7475,0.7462,0.7461,0.7331
Support Vector Machine,BC-15,GLCM,0.755,0.7555,0.755,0.7547,0.7514
Random Forest,BC-15,GLCM,0.751,0.7511,0.751,0.7509,0.7323
K-Nearest Neighbors,BC-15,Edge,0.6817,0.6884,0.6817,0.6801,0.6537
Support Vector Machine,BC-15,Edge,0.7083,0.7155,0.7083,0.7069,0.6791
Random Forest,BC-15,Edge,0.6849,0.6881,0.6849,0.6844,0.6624
K-Nearest Neighbors,BC-15,Edge2,0.6269,0.6288,0.6269,0.6266,0.6315
Support Vector Machine,BC-15,Edge2,0.6616,0.6649,0.6616,0.6609,0.6565
Random Forest,BC-15,Edge2,0.6414,0.6432,0.6414,0.6411,0.6374
K-Nearest Neighbors,BC-15,Basic+Enhanced Color,0.9033,0.9139,0.9033,0.9029,0.8725
Support Vector Machine,BC-15,Basic+Enhanced Color,0.9541,0.9541,0.9541,0.9541,0.9432
Random Forest,BC-15,Basic+Enhanced Color,0.9476,0.9477,0.9476,0.9476,0.9241
