Rice Seed,Model,Feature,Precision,Recall,F1-score,Accuracy,Best Param
BC-15,KNN,Basic,0.8066759388038943,0.9385113268608414,0.8676140613313388,0.8542009884678748,{'n_neighbors': 20}
BC-15,SVM,Basic,0.8675595238095238,0.9433656957928802,0.9038759689922481,0.8978583196046128,"{'C': 1, 'kernel': 'rbf'}"
BC-15,RF,Basic,0.8418674698795181,0.9045307443365695,0.8720748829953198,0.8649093904448105,"{'criterion': 'entropy', 'max_depth': 20, 'n_estimators': 150}"
BC-15,KNN,LBP,0.5946843853820598,0.5792880258899676,0.5868852459016394,0.5848434925864909,{'n_neighbors': 15}
BC-15,SVM,LBP,0.6252019386106623,0.6262135922330098,0.6257073565076798,0.6186161449752883,"{'C': 0.9, 'kernel': 'rbf'}"
BC-15,RF,LBP,0.5949579831932773,0.5728155339805825,0.5836768342951361,0.5840197693574959,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 150}"
BC-15,KNN,GLCM,0.6914556962025317,0.7071197411003236,0.6992,0.6902800658978583,{'n_neighbors': 20}
BC-15,SVM,GLCM,0.7517006802721088,0.7152103559870551,0.7330016583747927,0.7347611202635914,"{'C': 1, 'kernel': 'rbf'}"
BC-15,RF,GLCM,0.7325769854132901,0.7313915857605178,0.7319838056680162,0.7273476112026359,"{'criterion': 'entropy', 'max_depth': 20, 'n_estimators': 100}"
BC-15,KNN,Gist,0.6716417910447762,0.5097087378640777,0.5795768169273229,0.6235584843492586,{'n_neighbors': 20}
BC-15,SVM,Gist,0.7660626029654036,0.7524271844660194,0.7591836734693878,0.757001647446458,"{'C': 1, 'kernel': 'linear'}"
BC-15,RF,Gist,0.8065015479876161,0.843042071197411,0.8243670886075949,0.8171334431630972,"{'criterion': 'entropy', 'max_depth': 20, 'n_estimators': 200}"
BC-15,KNN,Basic LBP,0.8008720930232558,0.8915857605177994,0.8437978560490046,0.8319604612850082,{'n_neighbors': 10}
BC-15,SVM,Basic LBP,0.8467153284671532,0.9385113268608414,0.8902532617037605,0.8822075782537068,"{'C': 0.8, 'kernel': 'rbf'}"
BC-15,RF,Basic LBP,0.8348214285714286,0.9077669902912622,0.8697674418604651,0.8616144975288303,"{'criterion': 'entropy', 'max_depth': 20, 'n_estimators': 70}"
BC-15,KNN,Basic GLCM,0.8136094674556213,0.889967637540453,0.8500772797527048,0.8401976935749588,{'n_neighbors': 10}
BC-15,SVM,Basic GLCM,0.8885448916408669,0.9288025889967637,0.9082278481012658,0.9044481054365733,"{'C': 1, 'kernel': 'rbf'}"
BC-15,RF,Basic GLCM,0.8395802098950524,0.9061488673139159,0.8715953307392996,0.8640856672158155,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 100}"
BC-15,KNN,Basic Gist,0.7136363636363636,0.7621359223300971,0.7370892018779343,0.7232289950576606,{'n_neighbors': 20}
BC-15,SVM,Basic Gist,0.8870967741935484,0.889967637540453,0.8885298869143781,0.886326194398682,"{'C': 0.5, 'kernel': 'linear'}"
BC-15,RF,Basic Gist,0.8377192982456141,0.9271844660194175,0.880184331797235,0.871499176276771,"{'criterion': 'entropy', 'max_depth': 20, 'n_estimators': 140}"
BC-15,KNN,Gist GLCM,0.6881091617933723,0.5711974110032363,0.6242263483642794,0.6499176276771005,{'n_neighbors': 20}
BC-15,SVM,Gist GLCM,0.7658227848101266,0.7831715210355987,0.7744,0.7677100494233937,"{'C': 0.7, 'kernel': 'linear'}"
BC-15,RF,Gist GLCM,0.7941176470588235,0.7864077669902912,0.7902439024390244,0.7874794069192751,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 180}"
BC-15,KNN,LBP Gist,0.6998050682261209,0.580906148867314,0.6348364279398763,0.6598023064250412,{'n_neighbors': 20}
BC-15,SVM,LBP Gist,0.7772511848341233,0.7961165048543689,0.7865707434052758,0.7800658978583196,"{'C': 0.2, 'kernel': 'linear'}"
BC-15,RF,LBP Gist,0.7949479940564635,0.8656957928802589,0.8288148721920992,0.8179571663920923,"{'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 200}"
BC-15,KNN,LBP GLCM,0.6857142857142857,0.7378640776699029,0.7108339828526891,0.6943986820428336,{'n_neighbors': 15}
BC-15,SVM,LBP GLCM,0.7779690189328744,0.7313915857605178,0.7539616346955796,0.757001647446458,"{'C': 1, 'kernel': 'rbf'}"
BC-15,RF,LBP GLCM,0.75,0.7184466019417476,0.7338842975206612,0.7347611202635914,"{'criterion': 'entropy', 'max_depth': 30, 'n_estimators': 120}"
BC-15,KNN,Basic LBP GLCM,0.7967836257309941,0.8818770226537217,0.837173579109063,0.8253706754530478,{'n_neighbors': 10}
BC-15,SVM,Basic LBP GLCM,0.8968903436988543,0.8867313915857605,0.8917819365337672,0.8904448105436573,"{'C': 0.8, 'kernel': 'linear'}"
BC-15,RF,Basic LBP GLCM,0.8380386329866271,0.912621359223301,0.8737412858249419,0.8657331136738056,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 110}"
BC-15,KNN,Basic LBP GIST,0.7332339791356185,0.7961165048543689,0.7633824670287044,0.7487644151565074,{'n_neighbors': 20}
BC-15,SVM,Basic LBP GIST,0.8931419457735247,0.9061488673139159,0.8995983935742972,0.8970345963756178,"{'C': 0.2, 'kernel': 'linear'}"
BC-15,RF,Basic LBP GIST,0.8451327433628318,0.9271844660194175,0.8842592592592593,0.8764415156507414,"{'criterion': 'gini', 'max_depth': 20, 'n_estimators': 200}"
BC-15,KNN,Basic GLCM GIST,0.7445820433436533,0.7783171521035599,0.7610759493670886,0.7512355848434926,{'n_neighbors': 20}
BC-15,SVM,Basic GLCM GIST,0.890302066772655,0.9061488673139159,0.8981555733761026,0.8953871499176277,"{'C': 0.3, 'kernel': 'linear'}"
BC-15,RF,Basic GLCM GIST,0.8318713450292398,0.9207119741100324,0.8740399385560675,0.8649093904448105,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 200}"
BC-15,KNN,LBP GIST GLCM,0.7096188747731398,0.6326860841423948,0.6689478186484175,0.6812191103789127,{'n_neighbors': 20}
BC-15,SVM,LBP GIST GLCM,0.79585326953748,0.8074433656957929,0.8016064257028113,0.7965403624382208,"{'C': 0.1, 'kernel': 'linear'}"
BC-15,RF,LBP GIST GLCM,0.816,0.8252427184466019,0.8205953338696702,0.8163097199341022,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 120}"
