Model,Dataset,Feature Combination,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
K-Nearest Neighbors,BC-15,Basic,0.857495881383855,0.8643370368713068,0.857495881383855,0.8568429149609873,0.8485520869407477
Support Vector Machine,BC-15,Basic,0.9028006589785832,0.9082463354454078,0.9028006589785832,0.9024857408728325,0.8952439848942101
Random Forest,BC-15,Basic,0.8780889621087314,0.8829152433247095,0.8780889621087314,0.8777166184008861,0.8647916357459721
K-Nearest Neighbors,BC-15,Enhanced Color,0.7372322899505767,0.7387535924008605,0.7372322899505767,0.7367859476863537,0.7401523771830011
Support Vector Machine,BC-15,Enhanced Color,0.7841845140032949,0.7844451628007879,0.7841845140032949,0.7841423333634976,0.7925361565988884
Random Forest,BC-15,Enhanced Color,0.7611202635914333,0.7617790485725124,0.7611202635914333,0.760984040004264,0.755178185656096
K-Nearest Neighbors,BC-15,Zernike moments,0.841845140032949,0.8442014446516896,0.841845140032949,0.8415871898273611,0.8379920513201075
Support Vector Machine,BC-15,Zernike moments,0.8772652388797364,0.8788418034606542,0.8772652388797364,0.8771449570183629,0.8790019624334174
Random Forest,BC-15,Zernike moments,0.8525535420098846,0.8543485750678766,0.8525535420098846,0.8523769606249816,0.8485611570111644
K-Nearest Neighbors,BC-15,Color,0.7817133443163097,0.7841863144912272,0.7817133443163097,0.7812140648945095,0.7803501047180857
Support Vector Machine,BC-15,Color,0.771828665568369,0.7736417205641133,0.771828665568369,0.7714715826482317,0.7791347152822442
Random Forest,BC-15,Color,0.8080724876441515,0.8084525741131015,0.8080724876441515,0.8080205144811481,0.8176940582793252
K-Nearest Neighbors,BC-15,LBP,0.5947281713344317,0.5957884196409512,0.5947281713344317,0.5934901542969091,0.5594839954484738
Support Vector Machine,BC-15,LBP,0.6268533772652389,0.6285841435570783,0.6268533772652389,0.6256793157267702,0.60169362951236
Random Forest,BC-15,LBP,0.6260296540362438,0.6262513554089009,0.6260296540362438,0.6258956319535697,0.5757177723907057
K-Nearest Neighbors,BC-15,GLCM,0.7158154859967051,0.7158168430366211,0.7158154859967051,0.7158156788217005,0.7011749863948944
Support Vector Machine,BC-15,GLCM,0.7520593080724877,0.7525771428082265,0.7520593080724877,0.75194570281753,0.733255825458863
Random Forest,BC-15,GLCM,0.7380560131795717,0.7381277486212663,0.7380560131795717,0.7380417938242577,0.7165974043107571
K-Nearest Neighbors,BC-15,GIST,0.6021416803953872,0.6128936542030362,0.6021416803953872,0.5921492379040704,0.6073962301489141
Support Vector Machine,BC-15,GIST,0.6911037891268533,0.6916426462556315,0.6911037891268533,0.6908615087046812,0.6816883523804813
Random Forest,BC-15,GIST,0.7940691927512356,0.7968106844030307,0.7940691927512356,0.7936143879275891,0.7758760863470704
K-Nearest Neighbors,BC-15,Basic+Enhanced Color,0.8912685337726524,0.8948899296451944,0.8912685337726524,0.891028396825767,0.8802264219396758
Support Vector Machine,BC-15,Basic+Enhanced Color,0.914332784184514,0.9171742566724175,0.914332784184514,0.9141930611564872,0.9171778888174277
Random Forest,BC-15,Basic+Enhanced Color,0.9085667215815486,0.9092670720637773,0.9085667215815486,0.9085310361728002,0.899305727337192
K-Nearest Neighbors,BC-15,Basic+Zernike moments,0.8855024711696869,0.8921669289052508,0.8855024711696869,0.8850279809959352,0.8814451095829415
Support Vector Machine,BC-15,Basic+Zernike moments,0.9242174629324547,0.9254061377279011,0.9242174629324547,0.924168069604219,0.9285377397384522
Random Forest,BC-15,Basic+Zernike moments,0.8879736408566722,0.8896776233266293,0.8879736408566722,0.8878579891199285,0.8786037038869374
K-Nearest Neighbors,BC-15,Basic+Color,0.8542009884678748,0.8560041355428111,0.8542009884678748,0.8540263800593394,0.8725053183594718
Support Vector Machine,BC-15,Basic+Color,0.8616144975288303,0.8662345537183603,0.8616144975288303,0.8611918371037088,0.8627624136281933
Random Forest,BC-15,Basic+Color,0.8953871499176277,0.8958668757230651,0.8953871499176277,0.8953588211978791,0.8964601988819076
K-Nearest Neighbors,BC-15,Basic+LBP,0.8434925864909391,0.8527234257489126,0.8434925864909391,0.8424872322280833,0.8205387621827537
Support Vector Machine,BC-15,Basic+LBP,0.8962108731466227,0.9012640018916936,0.8962108731466227,0.8958938778277815,0.8842865152789459
Random Forest,BC-15,Basic+LBP,0.8665568369028006,0.8718121932797849,0.8665568369028006,0.8660989736217992,0.8558600900410628
K-Nearest Neighbors,BC-15,Basic+GLCM,0.857495881383855,0.8653815711940832,0.857495881383855,0.8567433312054413,0.8448935503553819
Support Vector Machine,BC-15,Basic+GLCM,0.9036243822075782,0.9062840513194117,0.9036243822075782,0.9034735565698309,0.8924034037500619
Random Forest,BC-15,Basic+GLCM,0.85667215815486,0.8612303468364556,0.85667215815486,0.8562344027145554,0.8631672685895216
K-Nearest Neighbors,BC-15,Basic+GIST,0.7265238879736409,0.7265307563583265,0.7265238879736409,0.7265194344488549,0.714180642820627
Support Vector Machine,BC-15,Basic+GIST,0.7891268533772653,0.7893710378762303,0.7891268533772653,0.789075330003519,0.7681574564224344
Random Forest,BC-15,Basic+GIST,0.8616144975288303,0.8647390122087331,0.8616144975288303,0.8613299890988614,0.8635712989989941
K-Nearest Neighbors,BC-15,Enhanced Color+Zernike moments,0.8731466227347611,0.8787996797297302,0.8731466227347611,0.8726864094217355,0.8997213014726496
Support Vector Machine,BC-15,Enhanced Color+Zernike moments,0.9102141680395387,0.9124916426522217,0.9102141680395387,0.9100961368978988,0.9208306535398012
Random Forest,BC-15,Enhanced Color+Zernike moments,0.8789126853377265,0.8799136098331383,0.8789126853377265,0.8788387811818758,0.8944359240752651
K-Nearest Neighbors,BC-15,Enhanced Color+Color,0.8014827018121911,0.8028425971242998,0.8014827018121911,0.8012449310251281,0.807545474034862
