Model,Dataset,Feature Combination,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
K-Nearest Neighbors,BC-15,Basic,0.8517298187808896,0.8641655303988585,0.8517298187808896,0.8504801138951819,0.8453041771797029
Support Vector Machine,BC-15,Basic,0.9028006589785832,0.9082463354454078,0.9028006589785832,0.9024857408728325,0.8952439848942101
Random Forest,BC-15,Basic,0.8764415156507414,0.8804299722874435,0.8764415156507414,0.8761288787222099,0.8627665363874734
K-Nearest Neighbors,BC-15,Enhanced Color,0.742998352553542,0.743057348390896,0.742998352553542,0.7429774248191151,0.744210821418559
Support Vector Machine,BC-15,Enhanced Color,0.7841845140032949,0.7844451628007879,0.7841845140032949,0.7841423333634976,0.7925361565988884
Random Forest,BC-15,Enhanced Color,0.7668863261943987,0.7677986624713529,0.7668863261943987,0.7667035021206043,0.7482766866208216
K-Nearest Neighbors,BC-15,Zernike moments,0.8369028006589786,0.8428916957142086,0.8369028006589786,0.8362093904232593,0.8384035026962847
Support Vector Machine,BC-15,Zernike moments,0.8772652388797364,0.8788418034606542,0.8772652388797364,0.8771449570183629,0.8790019624334174
Random Forest,BC-15,Zernike moments,0.8484349258649094,0.8504660709223848,0.8484349258649094,0.848226504065248,0.8501838750639028
K-Nearest Neighbors,BC-15,LBP,0.5930807248764415,0.5930807248764415,0.5930807248764415,0.5930807248764415,0.5671960289582612
Support Vector Machine,BC-15,LBP,0.6268533772652389,0.6285841435570783,0.6268533772652389,0.6256793157267702,0.60169362951236
Random Forest,BC-15,LBP,0.6144975288303131,0.6147352060719822,0.6144975288303131,0.614334244635142,0.5736827784099343
K-Nearest Neighbors,BC-15,GLCM,0.7207578253706755,0.7226267421069232,0.7207578253706755,0.7202044615822502,0.7011749863948944
Support Vector Machine,BC-15,GLCM,0.7520593080724877,0.7525771428082265,0.7520593080724877,0.75194570281753,0.733255825458863
Random Forest,BC-15,GLCM,0.7182866556836903,0.7189194392369987,0.7182866556836903,0.7181030413548146,0.7117424429822391
K-Nearest Neighbors,BC-15,GIST,0.6219110378912686,0.6347990723691079,0.6219110378912686,0.612415114281508,0.6317576147363908
Support Vector Machine,BC-15,GIST,0.6911037891268533,0.6916426462556315,0.6911037891268533,0.6908615087046812,0.6816883523804813
Random Forest,BC-15,GIST,0.7990115321252059,0.8007634748786805,0.7990115321252059,0.7987351466952204,0.774264912020317
