Model,Dataset,Features,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
K-Nearest Neighbors,BC-15,zernike+basic,0.8690280065897859,0.8804427413373076,0.8690280065897859,0.8680599402327641,0.8802198255248271
Support Vector Machine,BC-15,zernike+basic,0.8920922570016474,0.8981908153692373,0.8920922570016474,0.8916899361507765,0.8993032536816241
Random Forest,BC-15,zernike+basic,0.9044481054365733,0.9074509819744191,0.9044481054365733,0.9042792509532708,0.9090502811721828
K-Nearest Neighbors,Huongthom,zernike+basic,0.9481751824817518,0.9527252638433132,0.9481751824817518,0.9480164664475002,0.9435251798561153
Support Vector Machine,Huongthom,zernike+basic,0.9547445255474453,0.9577715444061626,0.9547445255474453,0.9546497598103437,0.9582733812949641
Random Forest,Huongthom,zernike+basic,0.9635036496350365,0.9654026136612781,0.9635036496350365,0.9634539368533599,0.9676258992805755
K-Nearest Neighbors,Nep87,zernike+basic,0.934668071654373,0.9397073247040725,0.934668071654373,0.9345773304452385,0.9282873376623376
Support Vector Machine,Nep87,zernike+basic,0.9715489989462592,0.972129665180304,0.9715489989462592,0.9715263986141052,0.9672524350649351
Random Forest,Nep87,zernike+basic,0.9757639620653319,0.9762207596372455,0.9757639620653319,0.9757477867521112,0.9708928571428572
K-Nearest Neighbors,Q5,zernike+basic,0.9024144869215291,0.9156938464000044,0.9024144869215291,0.901589771776494,0.9082450924993243
Support Vector Machine,Q5,zernike+basic,0.9436619718309859,0.944007987002798,0.9436619718309859,0.9436475980225291,0.9360133159717957
Random Forest,Q5,zernike+basic,0.9577464788732394,0.958341707483689,0.9577464788732394,0.9577295355686174,0.9508881409232736
K-Nearest Neighbors,Thien_uu,zernike+basic,0.9712990936555891,0.9714144962161196,0.9712990936555891,0.9713013860864066,0.9747073184264551
Support Vector Machine,Thien_uu,zernike+basic,0.9577039274924471,0.960598789597925,0.9577039274924471,0.9576687811833834,0.9620512678244466
Random Forest,Thien_uu,zernike+basic,0.9803625377643505,0.9805849048487274,0.9803625377643505,0.980364106183744,0.9784247905454142
K-Nearest Neighbors,Xi23,zernike+basic,0.8574561403508771,0.8640039842429039,0.8574561403508771,0.8558592914809979,0.8505619288353101
Support Vector Machine,Xi23,zernike+basic,0.922514619883041,0.9239898046018966,0.922514619883041,0.9226132265021667,0.9178935770302676
Random Forest,Xi23,zernike+basic,0.9261695906432749,0.9262020930897199,0.9261695906432749,0.9261813694145831,0.9240171106358158
