Model,Dataset,Features,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
K-Nearest Neighbors,BC-15,zernike+basic,0.8747940691927513,0.8840310056932598,0.8747940691927513,0.874055137067048,0.8700778376952126
Support Vector Machine,BC-15,zernike+basic,0.9209225700164745,0.9222544382752901,0.9209225700164745,0.9208641521189166,0.9273182275433302
Random Forest,BC-15,zernike+basic,0.8846787479406919,0.8869146413544347,0.8846787479406919,0.8845201661366019,0.8794109401540263
K-Nearest Neighbors,Huongthom,zernike+basic,0.9145985401459854,0.9155218656161649,0.9145985401459854,0.9145278844143298,0.9061151079136691
Support Vector Machine,Huongthom,zernike+basic,0.9445255474452555,0.9445646180100931,0.9445255474452555,0.9445269662019944,0.952158273381295
Random Forest,Huongthom,zernike+basic,0.9226277372262773,0.9231745754233627,0.9226277372262773,0.9226178430750277,0.9197841726618705
K-Nearest Neighbors,Nep87,zernike+basic,0.9768177028451,0.9770170581946315,0.9768177028451,0.9768086812523467,0.9724540043290043
Support Vector Machine,Nep87,zernike+basic,0.9852476290832455,0.9855489553043566,0.9852476290832455,0.9852403450312021,0.9807656926406926
Random Forest,Nep87,zernike+basic,0.9852476290832455,0.9853792564190247,0.9852476290832455,0.985243299373445,0.9750541125541126
K-Nearest Neighbors,Q5,zernike+basic,0.9366197183098591,0.9402081607290803,0.9366197183098591,0.9364779279705077,0.9335343832149963
Support Vector Machine,Q5,zernike+basic,0.9617706237424547,0.9626707259582132,0.9617706237424547,0.9617484765993466,0.9523868019556299
Random Forest,Q5,zernike+basic,0.9507042253521126,0.9507908674753112,0.9507042253521126,0.9507003831443844,0.9424600152322924
K-Nearest Neighbors,Thien_uu,zernike+basic,0.9712990936555891,0.9713425278982968,0.9712990936555891,0.9713008622313734,0.9717139211008157
Support Vector Machine,Thien_uu,zernike+basic,0.9833836858006042,0.9837492780263657,0.9833836858006042,0.9833847095446762,0.9791571880375077
Random Forest,Thien_uu,zernike+basic,0.9773413897280967,0.9778823422590915,0.9773413897280967,0.977341958464421,0.9694778893635909
K-Nearest Neighbors,Xi23,zernike+basic,0.9217836257309941,0.9231089479723009,0.9217836257309941,0.9215200722522217,0.9135686045757987
Support Vector Machine,Xi23,zernike+basic,0.9627192982456141,0.962836425562245,0.9627192982456141,0.962736049569509,0.9585857800246289
Random Forest,Xi23,zernike+basic,0.9283625730994152,0.9284841233655137,0.9283625730994152,0.9283914959449555,0.9225737248039406
