Model,Dataset,Features,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
K-Nearest Neighbors,BC-15,zernike+basic,0.8912685337726524,0.9000863258873258,0.8912685337726524,0.8906811376826633,0.8976863074918782
Support Vector Machine,BC-15,zernike+basic,0.9373970345963756,0.9384730052501667,0.9373970345963756,0.9373613346218072,0.9378790877158265
Random Forest,BC-15,zernike+basic,0.9102141680395387,0.9114380536255762,0.9102141680395387,0.9101518047021007,0.917977704117812
K-Nearest Neighbors,Huongthom,zernike+basic,0.9481751824817518,0.9483787017177883,0.9481751824817518,0.9481631659110468,0.9503597122302159
Support Vector Machine,Huongthom,zernike+basic,0.9759124087591241,0.9759359755727991,0.9759124087591241,0.9759111893220819,0.9773381294964029
Random Forest,Huongthom,zernike+basic,0.9576642335766423,0.9579917036435106,0.9576642335766423,0.9576626095150688,0.9654676258992805
K-Nearest Neighbors,Nep87,zernike+basic,0.9831401475237092,0.9833458353372847,0.9831401475237092,0.9831335863653431,0.9766139069264069
Support Vector Machine,Nep87,zernike+basic,0.9863013698630136,0.9866575342465753,0.9863013698630136,0.9862938437877147,0.9849242424242425
Random Forest,Nep87,zernike+basic,0.9841938883034773,0.9843605261185219,0.9841938883034773,0.9841885109094408,0.9776501623376623
K-Nearest Neighbors,Q5,zernike+basic,0.9456740442655935,0.949507428502689,0.9456740442655935,0.9455472607709376,0.9419711077807532
Support Vector Machine,Q5,zernike+basic,0.9758551307847082,0.9763458224670806,0.9758551307847082,0.9758473077019643,0.9637901383190428
Random Forest,Q5,zernike+basic,0.9637826961770624,0.963900563957071,0.9637826961770624,0.9637791767020923,0.9504016902930988
K-Nearest Neighbors,Thien_uu,zernike+basic,0.9848942598187311,0.9849136203182651,0.9848942598187311,0.9848949493518611,0.9642678799311991
Support Vector Machine,Thien_uu,zernike+basic,0.9848942598187311,0.9850585518569565,0.9848942598187311,0.9848955007970943,0.9806469511180159
Random Forest,Thien_uu,zernike+basic,0.9788519637462235,0.9791409606283938,0.9788519637462235,0.9788535080043727,0.9717166953337403
K-Nearest Neighbors,Xi23,zernike+basic,0.9261695906432749,0.9272600718184154,0.9261695906432749,0.9259503176255525,0.9236535096247327
Support Vector Machine,Xi23,zernike+basic,0.9692982456140351,0.9693278215155754,0.9692982456140351,0.9693047097661653,0.9697491736340658
Random Forest,Xi23,zernike+basic,0.9371345029239766,0.9373519883210228,0.9371345029239766,0.9371709403534533,0.9333780543133061
