Model,Dataset,Features,Accuracy,Precision,Recall,F1 Score,CV_scores(5fold)
K-Nearest Neighbors,BC-15,zernike+basic,0.8780889621087314,0.887405954067471,0.8780889621087314,0.8773694755652834,0.8745444350995234
Support Vector Machine,BC-15,zernike+basic,0.9242174629324547,0.9254061377279011,0.9242174629324547,0.924168069604219,0.9285377397384522
Random Forest,BC-15,zernike+basic,0.8896210873146623,0.8925164841011923,0.8896210873146623,0.8894260312736061,0.8826629726743516
K-Nearest Neighbors,Huongthom,zernike+basic,0.9124087591240876,0.9136335428957104,0.9124087591240876,0.9123164100357474,0.9097122302158274
Support Vector Machine,Huongthom,zernike+basic,0.9467153284671533,0.9467995976620794,0.9467153284671533,0.9467166060217156,0.9550359712230216
Random Forest,Huongthom,zernike+basic,0.916058394160584,0.9165565283422699,0.916058394160584,0.9160491359889602,0.9233812949640287
K-Nearest Neighbors,Nep87,zernike+basic,0.9778714436248683,0.9780326365872936,0.9778714436248683,0.9778639152732173,0.9740137987012988
Support Vector Machine,Nep87,zernike+basic,0.9873551106427819,0.9875650200990532,0.9873551106427819,0.9873501897740072,0.9818073593073592
Random Forest,Nep87,zernike+basic,0.9831401475237092,0.9833458353372847,0.9831401475237092,0.9831335863653431,0.9750541125541126
K-Nearest Neighbors,Q5,zernike+basic,0.93158953722334,0.9356295312085758,0.93158953722334,0.9314162428260297,0.9350232169618948
Support Vector Machine,Q5,zernike+basic,0.9637826961770624,0.9645293319597128,0.9637826961770624,0.9637650911036063,0.9528830798712626
Random Forest,Q5,zernike+basic,0.9396378269617707,0.9396643533749699,0.9396378269617707,0.9396358718562239,0.9370058718030613
K-Nearest Neighbors,Thien_uu,zernike+basic,0.9758308157099698,0.9759951077481951,0.9758308157099698,0.9758328012753507,0.9717166953337403
Support Vector Machine,Thien_uu,zernike+basic,0.9833836858006042,0.9837492780263657,0.9833836858006042,0.9833847095446762,0.9791544138045831
Random Forest,Thien_uu,zernike+basic,0.9758308157099698,0.9761193713755263,0.9758308157099698,0.9758325805764257,0.9672474060922156
K-Nearest Neighbors,Xi23,zernike+basic,0.9203216374269005,0.9212454717356383,0.9203216374269005,0.9201003830913084,0.9142880290362305
Support Vector Machine,Xi23,zernike+basic,0.9649122807017544,0.965050396141047,0.9649122807017544,0.9649296083425811,0.9578657074340526
Random Forest,Xi23,zernike+basic,0.9312865497076024,0.9314059415341212,0.9312865497076024,0.9313142920288349,0.9218523559530754
